
── Step 12b: TE Nested-Walk-Forward-Tuned LightGBM ─────────────────────────────
ℹ Grid: 32 combos per component per fold (eff and vol tuned separately)
ℹ Inner split: last 20% season-weeks as RMSE holdout
ℹ Construction: FROZEN Mechanism A power-law (identical to 3A/3A-v2)
ℹ Rubric: FROZEN (unchanged veto, decision rule, fold_map)
✔ TE feature table: 6765 rows | Fold map: 204 folds | Expected test rows: 6599
✔ All model features present in TE feature table

── Walk-forward fold loop (204 folds x 32 combos x 2 components) ───────────────
ℹ Fold 74 [2018-W11]: 27 rows | eff: leaves=7 minnode=10 lr=0.02 rds=58 | vol: leaves=7 minnode=10 lr=0.02 rds=182 | 2s
ℹ Fold 75 [2018-W12]: 30 rows | eff: leaves=7 minnode=100 lr=0.05 rds=16 | vol: leaves=7 minnode=10 lr=0.05 rds=56 | 2s
ℹ Fold 76 [2018-W13]: 30 rows | eff: leaves=63 minnode=10 lr=0.02 rds=19 | vol: leaves=7 minnode=10 lr=0.05 rds=56 | 2s
ℹ Fold 77 [2018-W14]: 30 rows | eff: leaves=7 minnode=50 lr=0.02 rds=32 | vol: leaves=7 minnode=100 lr=0.05 rds=56 | 2s
ℹ Fold 78 [2018-W15]: 31 rows | eff: leaves=7 minnode=50 lr=0.05 rds=36 | vol: leaves=31 minnode=10 lr=0.05 rds=53 | 2s
ℹ Fold 79 [2018-W16]: 33 rows | eff: leaves=63 minnode=20 lr=0.05 rds=10 | vol: leaves=7 minnode=100 lr=0.02 rds=151 | 2s
ℹ Fold 80 [2018-W17]: 28 rows | eff: leaves=7 minnode=20 lr=0.05 rds=10 | vol: leaves=7 minnode=100 lr=0.02 rds=173 | 2s
ℹ Fold 81 [2019-W01]: 33 rows | eff: leaves=7 minnode=20 lr=0.05 rds=10 | vol: leaves=15 minnode=100 lr=0.02 rds=113 | 2s
ℹ Fold 82 [2019-W02]: 37 rows | eff: leaves=7 minnode=10 lr=0.02 rds=10 | vol: leaves=7 minnode=10 lr=0.02 rds=225 | 2s
ℹ Fold 83 [2019-W03]: 33 rows | eff: leaves=15 minnode=50 lr=0.02 rds=20 | vol: leaves=15 minnode=100 lr=0.02 rds=132 | 2s
ℹ Fold 84 [2019-W04]: 35 rows | eff: leaves=7 minnode=10 lr=0.05 rds=10 | vol: leaves=7 minnode=100 lr=0.05 rds=73 | 2s
ℹ Fold 85 [2019-W05]: 27 rows | eff: leaves=15 minnode=20 lr=0.05 rds=10 | vol: leaves=7 minnode=100 lr=0.02 rds=183 | 2s
ℹ Fold 86 [2019-W06]: 32 rows | eff: leaves=15 minnode=20 lr=0.05 rds=10 | vol: leaves=7 minnode=100 lr=0.02 rds=183 | 2s
ℹ Fold 87 [2019-W07]: 30 rows | eff: leaves=31 minnode=100 lr=0.05 rds=10 | vol: leaves=7 minnode=100 lr=0.05 rds=70 | 2s
ℹ Fold 88 [2019-W08]: 31 rows | eff: leaves=63 minnode=10 lr=0.05 rds=10 | vol: leaves=7 minnode=100 lr=0.02 rds=160 | 2s
ℹ Fold 89 [2019-W09]: 28 rows | eff: leaves=7 minnode=10 lr=0.05 rds=10 | vol: leaves=31 minnode=100 lr=0.05 rds=61 | 2s
ℹ Fold 90 [2019-W10]: 28 rows | eff: leaves=7 minnode=10 lr=0.05 rds=20 | vol: leaves=7 minnode=100 lr=0.02 rds=157 | 2s
ℹ Fold 91 [2019-W11]: 30 rows | eff: leaves=7 minnode=10 lr=0.05 rds=20 | vol: leaves=7 minnode=100 lr=0.02 rds=157 | 2s
ℹ Fold 92 [2019-W12]: 23 rows | eff: leaves=15 minnode=20 lr=0.05 rds=10 | vol: leaves=7 minnode=20 lr=0.05 rds=77 | 2s
ℹ Fold 93 [2019-W13]: 36 rows | eff: leaves=15 minnode=10 lr=0.05 rds=10 | vol: leaves=7 minnode=20 lr=0.05 rds=61 | 2s
ℹ Fold 94 [2019-W14]: 40 rows | eff: leaves=7 minnode=20 lr=0.05 rds=10 | vol: leaves=7 minnode=100 lr=0.05 rds=75 | 2s
ℹ Fold 95 [2019-W15]: 35 rows | eff: leaves=31 minnode=50 lr=0.05 rds=10 | vol: leaves=7 minnode=10 lr=0.02 rds=159 | 2s
ℹ Fold 96 [2019-W16]: 37 rows | eff: leaves=31 minnode=50 lr=0.05 rds=10 | vol: leaves=7 minnode=10 lr=0.02 rds=159 | 2s
ℹ Fold 97 [2019-W17]: 32 rows | eff: leaves=31 minnode=100 lr=0.02 rds=23 | vol: leaves=7 minnode=100 lr=0.05 rds=74 | 2s
ℹ Fold 98 [2020-W01]: 28 rows | eff: leaves=31 minnode=50 lr=0.05 rds=10 | vol: leaves=7 minnode=100 lr=0.05 rds=72 | 2s
ℹ Fold 99 [2020-W02]: 36 rows | eff: leaves=7 minnode=10 lr=0.05 rds=12 | vol: leaves=7 minnode=10 lr=0.05 rds=63 | 2s
ℹ Fold 100 [2020-W03]: 38 rows | eff: leaves=63 minnode=20 lr=0.05 rds=10 | vol: leaves=7 minnode=50 lr=0.05 rds=76 | 2s
ℹ Fold 101 [2020-W04]: 34 rows | eff: leaves=15 minnode=20 lr=0.02 rds=29 | vol: leaves=7 minnode=50 lr=0.05 rds=76 | 2s
ℹ Fold 102 [2020-W05]: 27 rows | eff: leaves=7 minnode=10 lr=0.02 rds=66 | vol: leaves=7 minnode=10 lr=0.02 rds=145 | 2s
ℹ Fold 103 [2020-W06]: 32 rows | eff: leaves=15 minnode=10 lr=0.02 rds=24 | vol: leaves=7 minnode=20 lr=0.02 rds=212 | 2s
ℹ Fold 104 [2020-W07]: 31 rows | eff: leaves=7 minnode=50 lr=0.05 rds=24 | vol: leaves=7 minnode=100 lr=0.02 rds=136 | 2s
ℹ Fold 105 [2020-W08]: 29 rows | eff: leaves=63 minnode=20 lr=0.02 rds=32 | vol: leaves=7 minnode=100 lr=0.02 rds=145 | 2s
ℹ Fold 106 [2020-W09]: 28 rows | eff: leaves=63 minnode=20 lr=0.02 rds=32 | vol: leaves=7 minnode=100 lr=0.02 rds=144 | 2s
ℹ Fold 107 [2020-W10]: 29 rows | eff: leaves=15 minnode=100 lr=0.05 rds=10 | vol: leaves=7 minnode=100 lr=0.02 rds=167 | 2s
ℹ Fold 108 [2020-W11]: 32 rows | eff: leaves=15 minnode=20 lr=0.05 rds=14 | vol: leaves=7 minnode=100 lr=0.02 rds=138 | 2s
ℹ Fold 109 [2020-W12]: 28 rows | eff: leaves=63 minnode=10 lr=0.02 rds=11 | vol: leaves=7 minnode=50 lr=0.02 rds=160 | 2s
ℹ Fold 110 [2020-W13]: 33 rows | eff: leaves=31 minnode=100 lr=0.05 rds=10 | vol: leaves=7 minnode=20 lr=0.02 rds=174 | 2s
ℹ Fold 111 [2020-W14]: 35 rows | eff: leaves=31 minnode=100 lr=0.05 rds=10 | vol: leaves=7 minnode=20 lr=0.02 rds=174 | 2s
ℹ Fold 112 [2020-W15]: 33 rows | eff: leaves=31 minnode=100 lr=0.05 rds=15 | vol: leaves=7 minnode=20 lr=0.02 rds=145 | 2s
ℹ Fold 113 [2020-W16]: 40 rows | eff: leaves=7 minnode=100 lr=0.02 rds=58 | vol: leaves=7 minnode=10 lr=0.05 rds=86 | 2s
ℹ Fold 114 [2020-W17]: 37 rows | eff: leaves=31 minnode=10 lr=0.05 rds=10 | vol: leaves=7 minnode=20 lr=0.02 rds=160 | 2s
ℹ Fold 115 [2021-W01]: 37 rows | eff: leaves=63 minnode=10 lr=0.02 rds=27 | vol: leaves=15 minnode=10 lr=0.02 rds=120 | 3s
ℹ Fold 116 [2021-W02]: 28 rows | eff: leaves=63 minnode=10 lr=0.02 rds=27 | vol: leaves=15 minnode=10 lr=0.02 rds=120 | 3s
ℹ Fold 117 [2021-W03]: 32 rows | eff: leaves=7 minnode=100 lr=0.02 rds=70 | vol: leaves=15 minnode=50 lr=0.05 rds=50 | 2s
ℹ Fold 118 [2021-W04]: 34 rows | eff: leaves=15 minnode=100 lr=0.05 rds=30 | vol: leaves=7 minnode=20 lr=0.02 rds=218 | 3s
ℹ Fold 119 [2021-W05]: 31 rows | eff: leaves=7 minnode=100 lr=0.05 rds=30 | vol: leaves=7 minnode=20 lr=0.05 rds=130 | 3s
ℹ Fold 120 [2021-W06]: 30 rows | eff: leaves=7 minnode=100 lr=0.02 rds=65 | vol: leaves=7 minnode=100 lr=0.05 rds=77 | 3s
ℹ Fold 121 [2021-W07]: 31 rows | eff: leaves=7 minnode=100 lr=0.02 rds=65 | vol: leaves=7 minnode=100 lr=0.05 rds=77 | 3s
ℹ Fold 122 [2021-W08]: 36 rows | eff: leaves=7 minnode=100 lr=0.05 rds=37 | vol: leaves=7 minnode=20 lr=0.02 rds=226 | 3s
ℹ Fold 123 [2021-W09]: 31 rows | eff: leaves=31 minnode=100 lr=0.05 rds=13 | vol: leaves=7 minnode=100 lr=0.02 rds=203 | 3s
ℹ Fold 124 [2021-W10]: 29 rows | eff: leaves=15 minnode=100 lr=0.05 rds=15 | vol: leaves=7 minnode=50 lr=0.02 rds=204 | 3s
ℹ Fold 125 [2021-W11]: 34 rows | eff: leaves=7 minnode=100 lr=0.05 rds=26 | vol: leaves=7 minnode=20 lr=0.02 rds=226 | 3s
ℹ Fold 126 [2021-W12]: 36 rows | eff: leaves=7 minnode=100 lr=0.05 rds=26 | vol: leaves=7 minnode=20 lr=0.02 rds=226 | 3s
