
── Step 3A-v2: Nested-Walk-Forward-Tuned LightGBM ──────────────────────────────
ℹ Grid: 32 combos per component per fold (eff and vol tuned separately)
ℹ Inner split: last 20% season-weeks as RMSE holdout (same as cal split)
ℹ Construction: FROZEN Mechanism A power-law (identical to 3A/3B)
ℹ Rubric: FROZEN (unchanged veto, decision rule, folds)
✔ Feature table: 11918 rows | Fold map: 204 folds | Expected test rows: 11621
ℹ ARM B: volume features extended with 7 injury-state features

── Walk-forward fold loop (204 folds x 32 combos x 2 components) ───────────────
ℹ Fold 131 [2021-W17]: 61 rows | eff: leaves=7 minnode=20 lr=0.05 rds=41 | vol: leaves=15 minnode=10 lr=0.02 rds=127 | 4s
ℹ Fold 132 [2021-W18]: 61 rows | eff: leaves=7 minnode=50 lr=0.05 rds=61 | vol: leaves=15 minnode=10 lr=0.02 rds=115 | 4s
ℹ Fold 133 [2022-W01]: 61 rows | eff: leaves=15 minnode=10 lr=0.05 rds=25 | vol: leaves=15 minnode=10 lr=0.02 rds=140 | 5s
ℹ Fold 134 [2022-W02]: 60 rows | eff: leaves=7 minnode=20 lr=0.05 rds=20 | vol: leaves=15 minnode=10 lr=0.02 rds=140 | 5s
ℹ Fold 135 [2022-W03]: 61 rows | eff: leaves=7 minnode=20 lr=0.05 rds=35 | vol: leaves=31 minnode=10 lr=0.02 rds=136 | 5s
ℹ Fold 136 [2022-W04]: 57 rows | eff: leaves=7 minnode=20 lr=0.05 rds=33 | vol: leaves=15 minnode=10 lr=0.02 rds=156 | 5s
ℹ Fold 137 [2022-W05]: 61 rows | eff: leaves=7 minnode=100 lr=0.05 rds=24 | vol: leaves=15 minnode=10 lr=0.05 rds=54 | 5s
ℹ Fold 138 [2022-W06]: 49 rows | eff: leaves=7 minnode=100 lr=0.05 rds=29 | vol: leaves=7 minnode=10 lr=0.02 rds=270 | 5s
ℹ Fold 139 [2022-W07]: 52 rows | eff: leaves=7 minnode=50 lr=0.02 rds=110 | vol: leaves=15 minnode=10 lr=0.02 rds=144 | 5s
ℹ Fold 140 [2022-W08]: 57 rows | eff: leaves=7 minnode=50 lr=0.02 rds=81 | vol: leaves=15 minnode=10 lr=0.05 rds=75 | 5s
ℹ Fold 141 [2022-W09]: 48 rows | eff: leaves=15 minnode=100 lr=0.05 rds=23 | vol: leaves=15 minnode=20 lr=0.02 rds=180 | 5s
ℹ Fold 142 [2022-W10]: 48 rows | eff: leaves=15 minnode=100 lr=0.02 rds=58 | vol: leaves=15 minnode=10 lr=0.02 rds=180 | 5s
ℹ Fold 143 [2022-W11]: 53 rows | eff: leaves=31 minnode=50 lr=0.05 rds=11 | vol: leaves=15 minnode=20 lr=0.05 rds=77 | 5s
ℹ Fold 144 [2022-W12]: 61 rows | eff: leaves=7 minnode=50 lr=0.05 rds=32 | vol: leaves=7 minnode=10 lr=0.05 rds=130 | 5s
ℹ Fold 145 [2022-W13]: 53 rows | eff: leaves=31 minnode=10 lr=0.05 rds=18 | vol: leaves=15 minnode=10 lr=0.02 rds=200 | 5s
ℹ Fold 146 [2022-W14]: 49 rows | eff: leaves=31 minnode=10 lr=0.05 rds=18 | vol: leaves=15 minnode=20 lr=0.02 rds=185 | 5s
ℹ Fold 147 [2022-W15]: 56 rows | eff: leaves=31 minnode=20 lr=0.05 rds=14 | vol: leaves=15 minnode=20 lr=0.05 rds=74 | 5s
ℹ Fold 148 [2022-W16]: 60 rows | eff: leaves=63 minnode=20 lr=0.05 rds=11 | vol: leaves=7 minnode=10 lr=0.05 rds=126 | 6s
ℹ Fold 149 [2022-W17]: 61 rows | eff: leaves=15 minnode=100 lr=0.05 rds=17 | vol: leaves=7 minnode=20 lr=0.02 rds=260 | 6s
ℹ Fold 150 [2022-W18]: 66 rows | eff: leaves=15 minnode=100 lr=0.02 rds=30 | vol: leaves=15 minnode=10 lr=0.02 rds=225 | 5s
