gsis_id,esb_id,pfr_id,nfl_name,dm_name,pos,school,draft_round,draft_pick,draft_team,pred,pred_uncertainty,p_boom,p_bust,p_expected,model_verdict,match_method,gsis_provisional
00-0041032,SAD482340,SadiKe00,Kenyon Sadiq,Kenyon Sadiq,TE,Oregon,1,16,NYJ,-0.08012136816978455,0.9910181270537508,0.13787621746665008,0.17664783364643674,0.6854759488869131,Baseline,pfr_id,FALSE
00-0041483,STO806346,StowEl00,Eli Stowers,Eli Stowers,TE,Vanderbilt,2,54,PHI,-0.2156289517879486,0.9910181270537508,0.10997773537028648,0.21433196508931832,0.6756902995403953,Baseline,pfr_id,FALSE
00-0041503,BOE586077,BoerNa00,Nate Boerkircher,Nate Boerkircher,TE,Texas A&M,2,56,JAX,-0.05720280110836029,0.9910181270537508,0.1430345742408285,0.17071538824312588,0.6862500375160456,Baseline,pfr_id,FALSE
00-0041472,KLE258860,KleiMa00,Marlin Klein,Marlin Klein,TE,Michigan,2,59,HOU,-0.1757623702287674,0.9910181270537508,0.11772850870707581,0.202786913236364,0.6794845780565602,Baseline,pfr_id,FALSE
00-0041510,KLA269938,KlarMa00,Max Klare,Max Klare,TE,Ohio State,2,61,LAR,-0.24233247339725494,0.9910181270537508,0.10499515603221542,0.22227439919625125,0.6727304447715333,Baseline,pfr_id,FALSE
00-0041558,ROU550040,RousSa00,Sam Roush,Sam Roush,TE,Stanford,3,69,CHI,-0.2350582778453827,0.9910181270537508,0.10633595527852774,0.2200943507009198,0.6735696940205526,Baseline,pfr_id,FALSE
NA,NA,DelpOs01,Oscar Delp,Oscar Delp,TE,Georgia,3,73,NOR,-0.23668058216571808,0.9910181270537508,0.10603586166973247,0.22057948364220142,0.6733846546880662,Baseline,pfr_id,FALSE
00-0041524,KAC282861,KacmWi00,Will Kacmarek,Will Kacmarek,TE,Ohio State,3,87,MIA,-0.2085045427083969,0.9910181270537508,0.11133528810828762,0.21224118305457398,0.6764235288371384,Baseline,name_pos,FALSE
00-0041395,RAR148318,RariEl00,Eli Raridon,Elijah Raridon,TE,Notre Dame,3,95,NWE,-0.16304688155651093,0.9910181270537508,0.12028006526908513,0.19918423550122488,0.6805356992296899,Baseline,pfr_id,FALSE
00-0040879,HIB564972,HibnMa00,Matthew Hibner,Matthew Hibner,TE,SMU,4,133,BAL,-0.09231020510196686,0.9910181270537508,0.13518516747844303,0.17985536169560296,0.6849594708259541,Baseline,pfr_id,FALSE
00-0041077,JOL735174,JolyJu00,Justin Joly,Justin Joly,TE,North Carolina State,5,152,DEN,-0.07243366539478302,0.9910181270537508,0.13959217885160147,0.174643512183069,0.6857643089653296,Baseline,pfr_id,FALSE
00-0041084,KOZ404039,KoziTa00,Tanner Koziol,Tanner Koziol,TE,Houston,5,164,JAX,-0.12470875680446625,0.9910181270537508,0.12820812700276443,0.18855756060128584,0.6832343123959498,Baseline,pfr_id,FALSE
00-0041398,NOW373761,NowaRi00,Riley Nowakowski,Riley Nowakowski,TE,Indiana,5,169,PIT,-0.23206351697444916,0.9910181270537508,0.1068915358886942,0.21920040876489497,0.6739080553464109,Baseline,pfr_id,FALSE
NA,NA,RoyeJo01,Joe Royer,Joe Royer,TE,Cincinnati,5,170,CLE,-0.18280400335788727,0.9910181270537508,0.11633209264299138,0.2047986589611604,0.6788692483958483,Baseline,pfr_id,FALSE
00-0040887,CUE040912,CuevJo00,Josh Cuevas,Josh Cuevas,TE,Alabama,5,173,BAL,-0.12241344898939133,0.9910181270537508,0.12869403447021127,0.18793263033046428,0.6833733351993245,Baseline,pfr_id,FALSE
TRA291459,TRA291459,TraoSe00,Seydou Traore,Seydou Traore,TE,Mississippi State,5,180,MIA,-0.20157206058502197,0.9910181270537508,0.11266774373745493,0.21021821566190874,0.6771140406006364,Baseline,name_pos,TRUE
00-0041094,SHA375359,SharBa00,Bauer Sharp,Bauer Sharp,TE,LSU,6,185,TAM,-0.14564497768878937,0.9910181270537508,0.12383479551648627,0.19431671903597839,0.6818484854475354,Baseline,pfr_id,FALSE
00-0041116,END438361,EndrJa00,Jack Endries,Jack Endries,TE,Texas,7,221,CIN,-0.1154717281460762,0.9910181270537508,0.13017133873707112,0.18605044266519113,0.6837782185977378,Baseline,pfr_id,FALSE
00-0040901,KAN023071,KanaJa00,Jaren Kanak,Jaren Kanak,TE,Oklahoma,7,225,TEN,-0.1539553999900818,0.9910181270537508,0.12212813456063827,0.19663214281211716,0.6812397226272445,Baseline,pfr_id,FALSE
00-0041131,RYA022232,RyanCa00,Carsen Ryan,Carsen Ryan,TE,BYU,7,248,CLE,-0.17538206279277802,0.9910181270537508,0.11780426313776168,0.20267859914652617,0.6795171377157121,Baseline,name_pos,FALSE
00-0041133,BEN687044,BentDa00,Dallen Bentley,Dallen Bentley,TE,Utah,7,256,DEN,-0.18218261003494263,0.9910181270537508,0.1164548454266017,0.20462065514730673,0.6789244994260916,Baseline,pfr_id,FALSE
00-0040927,WRI136445,WrigDa01,Dae'Quan Wright,Dae'Quan Wright,TE,Mississippi,NA,NA,PHI,-0.1462312638759613,0.9910181270537508,0.12371384889735867,0.19447952192571596,0.6818066291769254,Baseline,udfa_name,FALSE
00-0041422,VIL556907,NA,Dan Villari,Dan Villari,TE,Syracuse,NA,NA,LA,-0.09503237903118134,0.9910181270537508,0.13458911914915261,0.18057667636891417,0.6848342044819332,Baseline,udfa_name,FALSE
00-0040938,ROG215734,NA,DJ Rogers,DJ Rogers,TE,TCU,NA,NA,DAL,-0.2856520116329193,0.9910181270537508,0.09726326417824431,0.23550941959787516,0.6672273162238805,Baseline,udfa_name,FALSE
00-0041195,VEL421666,VellJa00,Jack Velling,Jack Velling,TE,Michigan State,NA,NA,ATL,-0.22650772333145142,0.9910181270537508,0.10792777338881063,0.21754753348038824,0.6745246931308011,Baseline,udfa_name,FALSE
00-0041366,GEE574485,NA,Jameson Geers,Jameson Geers,TE,Minnesota,NA,NA,AZ,-0.1933644413948059,0.9910181270537508,0.11425996174745559,0.20783785145888156,0.6779021867936629,Baseline,udfa_name,FALSE
00-0040955,GYL415291,NA,John Michael Gyllenborg,John Michael Gyllenborg,TE,Wyoming,NA,NA,KC,-0.1008952185511589,0.9910181270537508,0.13331152271192304,0.18213634772786572,0.6845521295602113,Baseline,udfa_name,FALSE
00-0041246,KAT720399,NA,Josh Kattus,Josh Kattus,TE,Kentucky,NA,NA,CIN,-0.2435677945613861,0.9910181270537508,0.10476867930983146,0.22264584017714334,0.6725854805130251,Baseline,udfa_name,FALSE
00-0041263,MCR529443,McReLa00,Lake McRee,Lake McRee,TE,USC,NA,NA,PIT,-0.24305911362171173,0.9910181270537508,0.1048618950855123,0.22249284525768434,0.6726452596568034,Baseline,udfa_name,FALSE
00-0040974,MAS141573,NA,Lance Mason,Lance Mason,TE,Wisconsin,NA,NA,SEA,-0.11159610003232956,0.9910181270537508,0.13100121716000274,0.18500470129817148,0.6839940815418257,Baseline,udfa_name,FALSE
00-0040939,TRI074614,TrigMi00,Michael Trigg,Michael Trigg,TE,Baylor,NA,NA,DAL,-0.15577340126037598,0.9910181270537508,0.12175699488600182,0.19714088783042213,0.6811021172835761,Baseline,udfa_name,FALSE
00-0041457,KIT181689,KitsMi00,Miles Kitselman,Miles Kitselman,TE,Tennessee,NA,NA,DET,-0.17238174378871918,0.9910181270537508,0.11840311414234682,0.20182530127629092,0.6797715845813622,Baseline,udfa_name,FALSE
00-0040945,MAR825258,MaryRJ00,RJ Maryland,RJ Maryland,TE,SMU,NA,NA,GB,-0.04084335267543793,0.9910181270537508,0.1467954329820058,0.1665597064708104,0.6866448605471838,Baseline,udfa_name,FALSE
00-0041403,JON700194,JoneRo03,Rohan Jones,Rohan Jones,TE,Arkansas,NA,NA,LA,-0.0831041932106018,0.9910181270537508,0.13721431648776017,0.17742941053204175,0.6853562729801981,Baseline,udfa_name,FALSE
00-0041314,ARK504282,ArkiTa00,Tanner Arkin,Tanner Arkin,TE,Illinois,NA,NA,NE,-0.18127742409706116,0.9910181270537508,0.11663382421557739,0.20436152111052663,0.679004654673896,Baseline,udfa_name,FALSE
00-0041438,TAT143045,TateCa00,Carnell Tate,Carnell Tate,WR,Ohio State,1,4,TEN,0.34067434072494507,0.9910181270537508,0.25292889608150093,0.08805573283830301,0.659015371080196,Upside,pfr_id,FALSE
00-0041029,TYS405541,TysoJo00,Jordyn Tyson,Jordyn Tyson,WR,Arizona State,1,8,NOR,0.07313269376754761,0.9910181270537508,0.1748251623070698,0.13943555211289727,0.6857392855800329,Baseline,pfr_id,FALSE
00-0040867,LEM694125,LemoMa00,Makai Lemon,Makai Lemon,WR,USC,1,20,PHI,-0.09018879383802414,0.9910181270537508,0.13565092556451264,0.17929449213392668,0.6850545823015607,Baseline,pfr_id,FALSE
00-0041547,CON046719,ConcKC00,KC Concepcion,KC Concepcion,WR,Texas A&M,1,24,CLE,-0.0033286919351667166,0.9910181270537508,0.15566812868458324,0.15727888881718272,0.6870529824982341,Baseline,name_pos,FALSE
00-0041511,COO816508,CoopOm00,Omar Cooper Jr.,Omar Cooper,WR,Indiana,1,30,NYJ,0.09957427531480789,0.9910181270537508,0.18178420878975304,0.13359864437982083,0.6846171468304262,Baseline,pfr_id,FALSE
NA,NA,StriDe01,De'Zhaun Stribling,De'Zhaun-Ryan Stribling,WR,Mississippi,2,33,SFO,-0.13649015128612518,0.9910181270537508,0.12573411283795136,0.191785338255449,0.6824805489065997,Baseline,pfr_id,FALSE
00-0041037,BOS677861,BostDe00,Denzel Boston,Denzel Boston,WR,Washington,2,39,CLE,-0.2346642017364502,0.9910181270537508,0.10640894391628275,0.21997659886899537,0.6736144572147219,Baseline,pfr_id,FALSE
00-0041489,BER218265,BernGe00,Germie Bernard,Germie Bernard,WR,Alabama,2,47,PIT,0.1773257851600647,0.9910181270537508,0.20323254739880062,0.11741745020783578,0.6793500023933636,Baseline,pfr_id,FALSE
00-0041040,WIL143106,WillAn04,Antonio Williams,Antonio Williams,WR,Clemson,3,71,WAS,0.10173299163579941,0.9910181270537508,0.1823599032990819,0.13312964360296478,0.6845104530979533,Baseline,pfr_id,FALSE
00-0041042,FIE775129,FielMa00,Malachi Fields,Malachi Fields,WR,Notre Dame,3,74,NYG,-0.022227469831705093,0.9910181270537508,0.1511550316491697,0.16191096107371641,0.686934007277114,Baseline,pfr_id,FALSE
