player_id,season,week,pred_vol,p_start,p_boom,hit_start,hit_boom,stratum,p_start_platt,p_start_iso,p_start_strat_platt,p_start_strat_iso,p_start_platt_vol,p_boom_platt,p_boom_iso,p_boom_strat_platt,p_boom_strat_iso,p_boom_platt_vol
00-0026069,2016,15,7.477517263899137,0.084,0.023,FALSE,FALSE,exante_low,0.1046284388814027,0.15531914893617021,0.1428815443219629,0.11823647294589178,0.08719074771594233,0.05719402847389054,0.07488986784140969,0.04230309464196586,0.04356435643564356,0.02474224697379888
00-0026153,2016,15,19.506164199309406,0.4045,0.1565,TRUE,FALSE,exante_high,0.33677929592086236,0.28793774319066145,0.3575618468025193,0.2901960784313726,0.5640626420791457,0.1623791745796231,0.11737089201877934,0.19194059028897598,0.1640826873385013,0.3806092808094559
00-0026184,2016,15,17.854705469247634,0.4675,0.2945,FALSE,FALSE,exante_high,0.3800244616898802,0.4015748031496063,0.4071163099290507,0.4015748031496063,0.24306628012445416,0.2342771952529604,0.23770491803278687,0.2593403908259916,0.23770491803278687,0.06257212629232181
00-0026289,2016,15,15.210633077507753,0.264,0.095,TRUE,FALSE,exante_high,0.24119241525335233,0.21505376344086022,0.2481024643864465,0.2819843342036554,0.3052971922527866,0.12334320342751634,0.1092436974789916,0.15316196634350054,0.1640826873385013,0.13030534312536557
00-0026373,2016,15,15.152516032045686,0.2775,0.0925,FALSE,FALSE,exante_high,0.25049362820815924,0.21656050955414013,0.25869381472272673,0.2819843342036554,0.2715212505625832,0.1215637366516855,0.1092436974789916,0.15134433713147943,0.1640826873385013,0.1321616158746595
00-0027029,2016,15,20.00682347870787,0.534,0.271,TRUE,TRUE,exante_high,0.4270252502956012,0.48031496062992124,0.4606341243121488,0.48031496062992124,0.37974914866715487,0.22277759746704753,0.23770491803278687,0.24882713566133555,0.23770491803278687,0.20649395737643764
00-0027155,2016,15,17.14858795082018,0.3545,0.146,FALSE,FALSE,exante_high,0.30287705310794294,0.28793774319066145,0.31864602648013185,0.2901960784313726,0.35348966855462477,0.156213547363391,0.11737089201877934,0.18594068658690682,0.1640826873385013,0.16281906767722013
00-0027325,2016,15,16.919684907360296,0.3515,0.1445,FALSE,FALSE,exante_high,0.300846123349449,0.28793774319066145,0.31631565485300367,0.2901960784313726,0.3313703911459951,0.15531944705842035,0.11737089201877934,0.18506708413852688,0.1640826873385013,0.14901336469180948
00-0027531,2016,15,15.22707502093214,0.301,0.1345,FALSE,FALSE,exante_high,0.2665727107148822,0.21656050955414013,0.27705044302919263,0.2819843342036554,0.2369561842003489,0.14926571788770526,0.11737089201877934,0.17912768730808548,0.1640826873385013,0.0739008940920824
00-0027864,2016,15,12.418516148926264,0.1555,0.037,TRUE,TRUE,exante_mid,0.16309474903601884,0.15531914893617021,0.2051423239539342,0.16511318242343542,0.262415928783234,0.07400427960109827,0.07488986784140969,0.10819572658549614,0.07180156657963446,0.14410132520441155
00-0027966,2016,15,15.802387366845377,0.301,0.1005,FALSE,FALSE,exante_high,0.2665727107148822,0.21656050955414013,0.27705044302919263,0.2819843342036554,0.2977275558107968,0.12718924363848294,0.1092436974789916,0.157073925317103,0.1640826873385013,0.15740781936590104
00-0027994,2016,15,10.212372740968553,0.164,0.055,FALSE,FALSE,exante_mid,0.16953716160944,0.15531914893617021,0.18973647547917666,0.16511318242343542,0.08701697515441241,0.09170035997803211,0.07971014492753623,0.06524589464376722,0.07180156657963446,0.025105756405081992
00-0028009,2016,15,23.3927309524386,0.646,0.357,TRUE,FALSE,exante_high,0.5118412711895111,0.6666666666666666,0.5555613342532627,0.6666666666666666,0.6069911199211062,0.26428594632048014,0.36363636363636365,0.286405465932434,0.36363636363636365,0.4611037436017176
00-0028064,2016,15,13.955511077533671,0.2525,0.0715,TRUE,TRUE,exante_mid,0.2332223742453947,0.20198675496688742,0.09226685757085167,0.16511318242343542,0.20031576001070772,0.10569479414880285,0.10526315789473684,0.04587732293014435,0.07180156657963446,0.11134354190306942
00-0028087,2016,15,10.275840379912252,0.1,0.0185,FALSE,FALSE,exante_mid,0.11857685166908587,0.15531914893617021,0.3592193641355352,0.16511318242343542,0.229982462064362,0.05080981077269471,0.07488986784140969,0.23843589578936,0.07180156657963446,0.14326575359432456
00-0029205,2016,15,6.729486121522147,0.0715,0.0105,TRUE,FALSE,exante_low,0.09321670829121953,0.15531914893617021,0.1654800581765532,0.11823647294589178,0.08220433025620343,0.03729729248732543,0.07488986784140969,0.08787624049714941,0.04356435643564356,0.05821010649271271
00-0029273,2016,15,8.173547401671064,0.074,0.0125,TRUE,FALSE,exante_low,0.09554080012575944,0.15531914893617021,0.16045692301830247,0.11823647294589178,0.1539920579245946,0.04102950320512666,0.07488986784140969,0.07498940352835116,0.04356435643564356,0.09239871390240924
00-0029613,2016,15,19.577179268106303,0.485,0.2335,FALSE,FALSE,exante_high,0.39222577545700543,0.4015748031496063,0.4210531862496827,0.4015748031496063,0.41564759075542657,0.20398139996069195,0.23076923076923078,0.23144731105929173,0.23076923076923078,0.22168599160900304
00-0029615,2016,15,17.045069979505396,0.3195,0.1285,TRUE,FALSE,exante_high,0.27915825575551606,0.21656050955414013,0.2914519319649042,0.2819843342036554,0.41235109350074167,0.14554972760360124,0.1092436974789916,0.17546010272027396,0.1640826873385013,0.18957321878547112
00-0029683,2016,15,10.690127714745913,0.1515,0.045,FALSE,FALSE,exante_mid,0.16003522553474392,0.15531914893617021,0.21295863920054417,0.16511318242343542,0.12913016632905439,0.08226989943498864,0.07971014492753623,0.08463461565223282,0.07180156657963446,0.044996639063800324
00-0030288,2016,15,9.735601191797258,0.1115,0.025,FALSE,FALSE,exante_low,0.12823248475056012,0.15531914893617021,0.10878231373485997,0.11823647294589178,0.14957524781867268,0.059842275266663844,0.07488986784140969,0.03904253325742148,0.04356435643564356,0.07018800863987865
00-0030404,2016,15,9.316634786742142,0.1135,0.025,FALSE,FALSE,exante_low,0.1298844164145193,0.15531914893617021,0.10686767356998866,0.11823647294589178,0.11881754517677007,0.059842275266663844,0.07488986784140969,0.03904253325742148,0.04356435643564356,0.05668282471254677
00-0030414,2016,15,19.70921069649733,0.494,0.2345,FALSE,FALSE,exante_high,0.3985426171228048,0.4015748031496063,0.4282578245323733,0.4015748031496063,0.4159509785549424,0.20449165161521948,0.23076923076923078,0.23192256538094835,0.23076923076923078,0.23271147065169326
00-0030433,2016,15,12.08358292854215,0.24,0.0825,FALSE,FALSE,exante_mid,0.2245017808024926,0.20198675496688742,0.10130314753179066,0.16511318242343542,0.09398332219782958,0.11422876461764095,0.1092436974789916,0.03764517843720684,0.07180156657963446,0.03393369059562027
00-0030465,2016,15,7.877891966877314,0.076,0.013,FALSE,FALSE,exante_low,0.09738431354742089,0.15531914893617021,0.1566354771797147,0.11823647294589178,0.1278847937080822,0.041918215959717564,0.07488986784140969,0.07233667360263281,0.04356435643564356,0.07513384233064857
00-0030496,2016,15,26.617413773414647,0.821,0.5755,TRUE,FALSE,exante_high,0.6733888037400075,0.8181818181818182,0.7266621695252893,0.8181818181818182,0.5946893747380045,0.3725185032998932,0.5294117647058824,0.38091135796097486,0.5294117647058824,0.5364279770581533
00-0030513,2016,15,19.394369498653088,0.483,0.235,FALSE,FALSE,exante_high,0.3908260583301788,0.4015748031496063,0.41945570825287143,0.4015748031496063,0.3955655762439899,0.2047465656728772,0.23076923076923078,0.23215991984118511,0.23076923076923078,0.20277708995398847
00-0030578,2016,15,8.453500175378837,0.115,0.027,FALSE,FALSE,exante_low,0.13111841089916082,0.15531914893617021,0.10547006656210833,0.11823647294589178,0.07588625225467716,0.06239343504700137,0.07488986784140969,0.03624252646484739,0.04356435643564356,0.03196601061714467
00-0030656,2016,15,14.820424175540866,0.3,0.1355,FALSE,FALSE,exante_high,0.26589086008977647,0.21656050955414013,0.27627095855880507,0.2819843342036554,0.2009761293200053,0.14987870448789561,0.11737089201877934,0.17973107185141962,0.1640826873385013,0.05932181541709938
00-0031045,2016,15,17.66466823167973,0.421,0.189,FALSE,FALSE,exante_high,0.34802507919337305,0.3111111111111111,0.3704651434728984,0.3111111111111111,0.2949560822795249,0.18059296987553225,0.15151515151515152,0.2094329181649235,0.1640826873385013,0.13459115894236304
00-0031062,2016,15,8.27078211949049,0.088,0.0195,FALSE,FALSE,exante_low,0.10817862332576175,0.15531914893617021,0.13679951579232769,0.11823647294589178,0.11728565756685327,0.05228614918512943,0.07488986784140969,0.049518843536011325,0.04356435643564356,0.04891237810984223
00-0031285,2016,15,18.484024513043444,0.438,0.1885,TRUE,TRUE,exante_high,0.35966362537454005,0.3793103448275862,0.3838090668564771,0.3793103448275862,0.3627815929541876,0.18032120994835107,0.15151515151515152,0.20917430648836985,0.1640826873385013,0.1963122569571038
00-0031301,2016,15,17.964363639830694,0.389,0.148,FALSE,FALSE,exante_high,0.32624926263751025,0.28793774319066145,0.34547470097211735,0.2901960784313726,0.3892736471805927,0.15740033007256957,0.11737089201877934,0.18709885910853313,0.1640826873385013,0.22807902786326123
00-0031375,2016,15,13.352357840372571,0.191,0.053,TRUE,FALSE,exante_mid,0.18953908198309635,0.15531914893617021,0.149798101865948,0.16511318242343542,0.2664727958016713,0.08988151198535559,0.07971014492753623,0.06849775559729886,0.07180156657963446,0.13173036486651848
