position,player_id,player_name,posteam,defteam,week,report_status,pred_vol,p_start,p_boom,p_start_base,p_boom_base,pred_vol_base,n_base_weeks,opp_def_adj_now,implied_total_now,team_spread_now,opp_def_adj_base,implied_total_base,team_spread_base,pff_man_catch_pct,pff_zone_catch_pct,opp_man_rate,opp_zone_rate,delta_start_pp,delta_boom_pp,delta_vol,injury_flag
TE,00-0034829,Mike Gesicki,CIN,PIT,3,NA,6.908915309153193,0.4311262615704373,0.19365177606879028,0.37200070036650384,0.15993568742031816,6.233195171184104,2,0.4330688309099978,23,3.5,0.17332322075315276,24.125,0.25,NA,NA,NA,NA,5.912556120393347,3.3716088648472113,0.6757201379690896,FALSE
WR,00-0039075,Puka Nacua,LA,DEN,3,NA,9.195189705417665,0.6122394649350791,0.41524691358024696,0.5532477781461016,0.32766666666666666,8.712791215237768,2,-0.10518392575001262,23.5,2.5,0.15512648854880218,26.25,5,NA,NA,NA,NA,5.899168678897748,8.75802469135803,0.48239849017989656,FALSE
WR,00-0039868,Troy Franklin,DEN,LA,3,NA,4.7736573536642695,0.0940200928113162,0.0332425068119891,0.15259611071872864,0.06006175318162733,5.338602242520881,2,-0.07010184899736706,21,-2.5,-0.19596479442519493,22.25,0,NA,NA,NA,NA,-5.857601790741245,-2.6819246369638226,-0.5649448888566111,FALSE
TE,00-0035249,Josh Oliver,MIN,TB,3,NA,4.199802393138056,0.14425479178076636,0.04683817634331945,0.20264471337428325,0.0799043999298794,4.809875089361302,2,0.326693367219885,22,1.5,0.16107215175268425,22.5,-1.5,NA,NA,NA,NA,-5.8389921593516885,-3.3066223586559946,-0.6100726962232459,FALSE
TE,00-0041558,Sam Roush,CHI,PHI,3,NA,4.458649959065384,0.1348566801538494,0.05775674085216733,0.1929933533229436,0.06595513918478377,4.463085979956112,2,-0.40579461720923504,18.5,-4.5,0.28693602751902536,25.375,3.75,NA,NA,NA,NA,-5.813667316909418,-0.8198398332616437,-0.004436020890728365,FALSE
WR,00-0036410,Tee Higgins,CIN,PIT,3,NA,7.1514779072356465,0.3423572513588433,0.1778975741239892,0.2847306846145596,0.14439140811455847,6.5746439149773686,2,0.248242398770348,23,3.5,-0.1372406748347538,24.125,0.25,NA,NA,NA,NA,5.762656674428373,3.3506166009430736,0.5768339922582779,FALSE
WR,00-0034348,Courtland Sutton,DEN,LA,3,NA,6.765224758940832,0.2578423812667625,0.11428571428571428,0.3140252769285682,0.16114449111927384,7.041675129709091,2,-0.07010184899736706,21,-2.5,-0.19596479442519493,22.25,0,NA,NA,NA,NA,-5.618289566180568,-4.685877683355956,-0.2764503707682593,FALSE
WR,00-0040124,Tetairoa McMillan,CAR,CLE,3,NA,8.338430882624264,0.4335833911731746,0.22448979591836735,0.3775849298280972,0.2011936850211783,8.087508855787938,2,-0.15379313795480987,22.5,2.5,-0.020237196989339068,22.625,-0.25,NA,NA,NA,NA,5.599846134507741,2.3296110897189055,0.25092202683632614,FALSE
WR,00-0033921,Chris Godwin Jr.,TB,MIN,3,NA,5.935852503025739,0.2018401383665087,0.0681265206812652,0.2560484136037616,0.11382644428329708,6.3378842092236445,2,-0.015492139391546228,20.5,-1.5,-0.022528421052659314,24.25,2.5,NA,NA,NA,NA,-5.420827523725294,-4.569992360203187,-0.4020317061979055,FALSE
RB,00-0036919,Kenny Gainwell,TB,MIN,3,NA,10.03722345621124,0.1191312657070158,0.03317787728531388,0.1723987184910824,0.05682187861426791,11.720700482911917,2,-0.13461699760113854,20.5,-1.5,-0.08563409048369879,24.25,2.5,NA,NA,NA,NA,-5.326745278406661,-2.364400132895403,-1.6834770267006771,FALSE
RB,00-0037840,Kyren Williams,LA,DEN,3,NA,16.818315073542077,0.583408616617257,0.33625208665069944,0.5302048051559796,0.28638535283544475,17.6990918944378,2,-0.05208460868516541,23.5,2.5,0.03375245844629356,26.25,5,NA,NA,NA,NA,5.3203811461277395,4.98667338152547,-0.8807768208957221,FALSE
WR,00-0039792,Devontez Walker,BAL,DAL,3,NA,4.9617850845210185,0.2102957829472228,0.1399012345679012,0.26273629223325146,0.12795071042811113,5.773072308178236,2,0.3086437796406527,28,3.5,0.005913146667318514,27,8.5,NA,NA,NA,NA,-5.244050928602867,1.1950524139790086,-0.8112872236572173,FALSE
RB,00-0040583,Woody Marks,HOU,IND,3,NA,14.809697763419882,0.21763993596017375,0.09235606154205768,0.1663839271610571,0.0689585956070419,12.815063308880168,2,-0.07206281384594856,22,1.5,-0.01583167263700369,22.875,0.75,NA,NA,NA,NA,5.125600879911666,2.339746593501578,1.9946344545397139,FALSE
TE,00-0040189,Oronde Gadsden II,LAC,BUF,3,NA,4.466831356270774,0.25547715543954336,0.14538724910356465,0.20434785352150045,0.06032643462678742,4.928654175083067,2,-0.015898676471840373,21.75,-7,0.437668050980914,26.5,7.5,NA,NA,NA,NA,5.112930191804291,8.506081447677724,-0.46182281881229326,FALSE
WR,00-0033307,Kendrick Bourne,ARI,SF,3,NA,6.16708269079864,0.1875501038244458,0.0681265206812652,0.23849388582636516,0.11929099287080508,6.47597756523213,2,0.2344962130600144,19.5,-8.5,-0.2748164115686696,19,-6,NA,NA,NA,NA,-5.094378200191935,-5.116447218953987,-0.3088948744334896,FALSE
WR,00-0036322,Justin Jefferson,MIN,TB,3,NA,9.486747523271218,0.48274287997376614,0.2916666666666667,0.5333956352515264,0.3341666666666667,9.697954058738746,2,-0.123716083198007,22,1.5,0.07961619497059759,22.5,-1.5,NA,NA,NA,NA,-5.065275527776031,-4.2500000000000036,-0.21120653546752877,FALSE
TE,00-0038558,Darnell Washington,PIT,CIN,3,NA,3.964939575998144,0.11210768780466156,0.02779308891056006,0.16199419456336564,0.05913790890543477,4.636377365771278,2,0.39953611899857844,19.5,-3.5,0.054364911125766933,21,1,NA,NA,NA,NA,-4.988650675870408,-3.1344819994874715,-0.6714377897731336,FALSE
WR,00-0037239,Chris Olave,NO,LV,3,NA,9.639345982042384,0.5375277060600626,0.2916666666666667,0.48940364644156126,0.2914029535864979,9.737220461081442,2,0.18720301478612397,23.25,3,0.08107494699528366,19.875,-7.75,NA,NA,NA,NA,4.812405961850136,0.026371308016875927,-0.09787447903905822,FALSE
WR,00-0038544,Quentin Johnston,LAC,BUF,3,NA,7.180164267775102,0.27954872185407864,0.14439140811455847,0.3272804195187846,0.1778975741239892,6.904247488481502,2,-0.042747680052649256,21.75,-7,0.12273330233745809,26.5,7.5,NA,NA,NA,NA,-4.773169766470597,-3.3506166009430736,0.2759167792935999,FALSE
RB,00-0037256,Rachaad White,WAS,SEA,3,NA,10.914158881383251,0.10245951834522278,0.04232951880947343,0.15006658461082725,0.05875789620968712,11.898634982966005,2,-0.27506985748583557,16.5,-7.5,-0.07274608279940549,21.375,-4.75,NA,NA,NA,NA,-4.760706626560447,-1.642837740021369,-0.9844761015827537,FALSE
TE,00-0039074,Davis Allen,LA,DEN,3,NA,3.844657914996746,0.1299105590288655,0.02887816647662592,0.17740241027917641,0.051483410761771604,4.187622722704539,2,0.2352074159667829,23.5,2.5,0.3206493050694438,26.25,5,NA,NA,NA,NA,-4.749185125031091,-2.2605244285145685,-0.3429648077077929,FALSE
QB,00-0036971,Trevor Lawrence,JAX,NE,3,NA,2.7465401955844326,0.3190405691415173,0.14768961760966004,0.27269706220934314,0.135680770108306,3.017648603864576,2,0.10902692208054729,24.25,3,-0.0545376584084447,23,3,NA,NA,NA,NA,4.634350693217415,1.200884750135403,-0.2711084082801434,FALSE
WR,00-0039894,Xavier Worthy,KC,MIA,3,NA,6.431852549407426,0.31272709906741775,0.1778975741239892,0.26678615525947524,0.12289940434594522,6.4957067514018245,2,0.29490572365581635,28,10.5,-0.02194810899949419,24.625,4.25,NA,NA,NA,NA,4.5940943807942505,5.499816977804399,-0.06385420199439817,FALSE
WR,00-0039880,Malik Washington,MIA,KC,3,NA,7.188907492700274,0.25371486986597086,0.1020408163265306,0.20851165668119134,0.07535189116930094,7.046907640858024,2,-0.12312707958447008,17.5,-10.5,0.2103688345538643,17.375,-7.75,NA,NA,NA,NA,4.520321318477952,2.668892515722966,0.14199985184225028,FALSE
WR,00-0035640,DK Metcalf,PIT,CIN,3,NA,8.789353966953087,0.38924440836414714,0.22264875239923224,0.34446340841767276,0.2002731632616107,8.104147590782684,2,0.10969785458790099,19.5,-3.5,0.009573344490403451,21,1,NA,NA,NA,NA,4.4780999946474385,2.2375589137621525,0.6852063761704024,FALSE
RB,00-0041027,Jeremiyah Love,ARI,SF,3,NA,15.869135784848584,0.22956174880789937,0.10085899189342278,0.2739127890903081,0.15046541528522836,16.8603034543274,2,-0.02622207349567396,19.5,-8.5,-0.20223391273900954,19,-6,NA,NA,NA,NA,-4.435104028240872,-4.960642339180558,-0.9911676694788163,FALSE
WR,00-0040134,Pat Bryant,DEN,LA,3,NA,5.23068669356621,0.11492637649851845,0.0332425068119891,0.1592596399979651,0.05068451374662715,5.614356204172249,2,-0.07010184899736706,21,-2.5,-0.19596479442519493,22.25,0,NA,NA,NA,NA,-4.433326349944666,-1.744200693463805,-0.3836695106060386,FALSE
TE,00-0034613,Tanner Hudson,CIN,PIT,3,NA,4.1848603614244935,0.1468336914044264,0.04629275136441496,0.19099542279203152,0.05967503307281173,4.483007442315797,2,0.4330688309099978,23,3.5,0.17332322075315276,24.125,0.25,NA,NA,NA,NA,-4.416173138760512,-1.3382281708396775,-0.2981470808913036,FALSE
RB,00-0040242,Jacory Croskey-Merritt,WAS,SEA,3,NA,13.99326059254608,0.16010593512469992,0.06571191043523478,0.20397426168823932,0.08597065820805307,14.294052265396331,2,-0.27506985748583557,16.5,-7.5,-0.07274608279940549,21.375,-4.75,NA,NA,NA,NA,-4.386832656353939,-2.025874777281829,-0.3007916728502522,FALSE
QB,00-0039150,Bryce Young,CAR,CLE,3,NA,2.0716995695401628,0.23101075203075735,0.11384975706899245,0.274802709131881,0.12398973459650012,2.4968484917590565,2,-0.11543555475022851,22.5,2.5,0.05476278041281212,22.625,-0.25,NA,NA,NA,NA,-4.379195710112363,-1.013997752750767,-0.4251489222188938,FALSE
