nfl_name,dm_name,pos,school,draft_round,draft_pick,draft_team,model_verdict,pred,p_boom,p_bust,games,cum_fp_ppr,fp_pg,cum_opps,opps_pg,snap_share_avg,fp_per_opp,last_week_active,latest_fp_ppr,latest_opportunities,latest_snap_share,model_p_start_latest,model_p_boom_latest,tracker_status,gsis_id,pfr_id,gsis_provisional
Robert Henry Jr.,Robert Henry Jr.,RB,Texas-San Antonio,NA,NA,WAS,Baseline,0.00546339293941855,0.1599810722880341,0.1573371099923325,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041178,HenrRo00,FALSE
Roman Hemby,Roman Hemby,RB,Indiana,NA,NA,LV,Baseline,0.00366011657752096,0.15954274174185587,0.1577714596216956,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0040998,HembRo00,FALSE
Kenyon Sadiq,Kenyon Sadiq,TE,Oregon,1,16,NYJ,Baseline,-0.08012136816978455,0.13787621746665008,0.17664783364643674,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041032,SadiKe00,FALSE
Eli Stowers,Eli Stowers,TE,Vanderbilt,2,54,PHI,Baseline,-0.2156289517879486,0.10997773537028648,0.21433196508931832,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041483,StowEl00,FALSE
Nate Boerkircher,Nate Boerkircher,TE,Texas A&M,2,56,JAX,Baseline,-0.05720280110836029,0.1430345742408285,0.17071538824312588,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041503,BoerNa00,FALSE
Marlin Klein,Marlin Klein,TE,Michigan,2,59,HOU,Baseline,-0.1757623702287674,0.1177285087070758,0.202786913236364,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041472,KleiMa00,FALSE
Max Klare,Max Klare,TE,Ohio State,2,61,LAR,Baseline,-0.24233247339725497,0.10499515603221542,0.22227439919625125,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041510,KlarMa00,FALSE
Sam Roush,Sam Roush,TE,Stanford,3,69,CHI,Baseline,-0.2350582778453827,0.10633595527852774,0.2200943507009198,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041558,RousSa00,FALSE
Oscar Delp,Oscar Delp,TE,Georgia,3,73,NOR,Baseline,-0.23668058216571808,0.10603586166973249,0.22057948364220145,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041041,DelpOs01,FALSE
Will Kacmarek,Will Kacmarek,TE,Ohio State,3,87,MIA,Baseline,-0.2085045427083969,0.11133528810828762,0.212241183054574,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041524,KacmWi00,FALSE
Eli Raridon,Elijah Raridon,TE,Notre Dame,3,95,NWE,Baseline,-0.16304688155651093,0.12028006526908512,0.19918423550122488,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041395,RariEl00,FALSE
Matthew Hibner,Matthew Hibner,TE,SMU,4,133,BAL,Baseline,-0.09231020510196686,0.13518516747844303,0.17985536169560296,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0040879,HibnMa00,FALSE
Justin Joly,Justin Joly,TE,North Carolina State,5,152,DEN,Baseline,-0.07243366539478302,0.13959217885160147,0.174643512183069,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041077,JolyJu00,FALSE
Tanner Koziol,Tanner Koziol,TE,Houston,5,164,JAX,Baseline,-0.12470875680446623,0.12820812700276443,0.18855756060128584,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041084,KoziTa00,FALSE
Riley Nowakowski,Riley Nowakowski,TE,Indiana,5,169,PIT,Baseline,-0.23206351697444916,0.1068915358886942,0.21920040876489497,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041398,NowaRi00,FALSE
Joe Royer,Joe Royer,TE,Cincinnati,5,170,CLE,Baseline,-0.18280400335788727,0.11633209264299138,0.2047986589611604,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041087,RoyeJo01,FALSE
Josh Cuevas,Josh Cuevas,TE,Alabama,5,173,BAL,Baseline,-0.12241344898939133,0.12869403447021127,0.18793263033046428,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0040887,CuevJo00,FALSE
Seydou Traore,Seydou Traore,TE,Mississippi State,5,180,MIA,Baseline,-0.20157206058502197,0.11266774373745492,0.2102182156619087,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041579,TraoSe00,FALSE
Bauer Sharp,Bauer Sharp,TE,LSU,6,185,TAM,Baseline,-0.14564497768878937,0.12383479551648628,0.1943167190359784,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041094,SharBa00,FALSE
Jack Endries,Jack Endries,TE,Texas,7,221,CIN,Baseline,-0.1154717281460762,0.13017133873707112,0.1860504426651911,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041116,EndrJa00,FALSE
Jaren Kanak,Jaren Kanak,TE,Oklahoma,7,225,TEN,Baseline,-0.1539553999900818,0.12212813456063829,0.19663214281211716,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0040901,KanaJa00,FALSE
Carsen Ryan,Carsen Ryan,TE,BYU,7,248,CLE,Baseline,-0.17538206279277802,0.11780426313776168,0.20267859914652617,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041131,RyanCa00,FALSE
Dallen Bentley,Dallen Bentley,TE,Utah,7,256,DEN,Baseline,-0.18218261003494263,0.1164548454266017,0.2046206551473067,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041133,BentDa00,FALSE
Dan Villari,Dan Villari,TE,Syracuse,NA,NA,LA,Baseline,-0.09503237903118134,0.1345891191491526,0.18057667636891417,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041422,VillDa00,FALSE
DJ Rogers,DJ Rogers,TE,TCU,NA,NA,DAL,Baseline,-0.2856520116329193,0.09726326417824432,0.23550941959787516,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0040938,RogeDJ00,FALSE
Jack Velling,Jack Velling,TE,Michigan State,NA,NA,ATL,Baseline,-0.22650772333145144,0.10792777338881064,0.21754753348038824,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041195,VellJa00,FALSE
Jameson Geers,Jameson Geers,TE,Minnesota,NA,NA,ARI,Baseline,-0.1933644413948059,0.1142599617474556,0.20783785145888156,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041366,GeerJa00,FALSE
John Michael Gyllenborg,John Michael Gyllenborg,TE,Wyoming,NA,NA,KC,Baseline,-0.1008952185511589,0.13331152271192304,0.18213634772786572,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0040955,MichJo03,FALSE
Khalil Dinkins,Khalil Dinkins,TE,Penn State,NA,NA,SF,Baseline,-0.269413560628891,0.10011112790608648,0.23049795055933636,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041357,DinkKh00,FALSE
Lake McRee,Lake McRee,TE,USC,NA,NA,PIT,Baseline,-0.24305911362171173,0.1048618950855123,0.2224928452576843,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_nfl_data_yet,00-0041263,McReLa00,FALSE
