player_id,posteam,defteam,game_id,rolling_epa_per_opp,wt_carry_share,wt_target_share,prior_epa_per_opp,baseline_epa_per_opp,is_cold_start,draft_tier,baseline_carry_share,baseline_target_share,player_name,form_residual,wt_team_total_plays,baseline_team_total_plays,wt_snap_share,baseline_snap_share,games_played_so_far,def_used_fallback,def_rush_epa_adj,def_short_pass_epa_adj,def_deep_pass_epa_adj,season,week,team_spread,implied_total,report_status,practice_status,own_q_int,own_practice_int,weeks_missed,return_from_absence,above_new_out_share,above_q_share,above_long_out_share
00-0037248,BUF,PIT,2025_13_BUF_PIT,0.04129796448632149,0.8530049609992638,0.39358689295239335,0.09549035218328104,0.09549035218328104,FALSE,r2_3,0.6088235294117647,0.4810126582278481,James Cook,-0.054192387696959554,64.44453900613601,64.76470588235294,0.5847623028037636,0.476875,11,FALSE,-0.15600987099739905,0.21321507156304403,0,2025,13,3.5,25.5,NA,NA,0,3,0,0,0,0,0
00-0037256,TB,ARI,2025_13_ARI_TB,-0.027045746904162875,0.4695524728993094,0.6527916978740311,-0.022285188233091103,-0.022285188233091103,FALSE,r2_3,0.4090909090909091,0.5135135135135135,Rachaad White,-0.004760558671071773,69.19724426633141,68.29411764705883,0.6573245520163268,0.56625,11,FALSE,-0.05890581269186703,-0.6010941861231435,0.4282073042185612,2025,13,5.5,27,NA,NA,0,3,0,0,0,0,0
00-0037263,ATL,NYJ,2025_13_ATL_NYJ,-0.002755915349420296,0.2840116452018417,0.2116664945296128,0.059043005866860995,0.059043005866860995,FALSE,r4_5,0.3026315789473684,0.15294117647058825,Tyler Allgeier,-0.06179892121628129,60.08593298403555,68.17647058823529,0.33135270593429855,0.24941176470588236,11,FALSE,-0.10772916531157328,0.368046349020064,0,2025,13,1.5,20,NA,NA,0,3,0,0,0,0,0
00-0037525,MIN,SEA,2025_13_MIN_SEA,-0.053517322199087676,0.38767894440191986,0.10313641737128501,-0.004873706275280597,-0.004873706275280597,FALSE,udfa,0.5953307392996109,0.22950819672131148,Jordan Mason,-0.04864361592380708,56.30441655529921,66.41176470588235,0.30679841450939616,0.4866666666666667,11,FALSE,-0.29959830580153196,-0.05966492402232624,-0.15946055992057653,2025,13,-7.5,17.5,NA,NA,0,3,0,0,0,0,0
00-0037746,SF,CLE,2025_13_SF_CLE,0.09316602518384827,0.2884739060661988,0.10037223025168375,-0.0703161440697476,-0.0703161440697476,FALSE,r2_3,0.6338983050847458,0.373134328358209,Brian Robinson,0.16348216925359588,61.30534850290117,64.29411764705883,0.18397832084276378,0.5157142857142857,11,FALSE,-0.16995530215032778,0.28358396264292823,0.12893036963031834,2025,13,5.5,23.5,NA,NA,0,3,0,0,0,0,0
00-0037840,LA,CAR,2025_13_LA_CAR,0.10232535184245803,0.5881526526157619,0.6846204209437107,-0.07431148217438772,-0.07431148217438772,FALSE,r4_5,0.8272251308900523,0.8333333333333334,Kyren Williams,0.17663683401684577,62.92825183145399,64.47058823529412,0.647813125125341,0.86375,12,FALSE,0.03293514521012215,0.09139661671704397,0.07614468774532356,2025,13,7.5,26,NA,NA,0,3,0,0,0,0,0
00-0038120,NYJ,ATL,2025_13_ATL_NYJ,-0.0061148700130894545,0.8250496989027545,0.5759189811476623,-0.07759796022637655,-0.07759796022637655,FALSE,r2_3,0.6773162939297125,0.7307692307692307,Breece Hall,0.0714830902132871,59.77364121871108,64.47058823529412,0.6635246831293891,0.72375,11,FALSE,-0.019738992019036568,0.25149750540982646,0.033185786178035866,2025,13,-1.5,18.5,NA,NA,0,3,0,0,0,0,0
00-0038134,SEA,MIN,2025_13_MIN_SEA,-0.021098547351795165,0.5441604647439388,0.7123697365885775,-0.0352728083752965,-0.0352728083752965,FALSE,r2_3,0.7611940298507462,0.6385542168674698,Kenneth Walker III,0.014174261023501333,63.89421467825899,66.41176470588235,0.5261062285445608,0.6327272727272727,11,FALSE,-0.2273048940453937,-0.12429871099713911,0.4068395598136698,2025,13,7.5,25,NA,Full Participation in Practice,0,2,0,0,0,0,0
00-0038397,NO,MIA,2025_13_NO_MIA,NA,NA,NA,NA,-0.028093609232885158,TRUE,r4_5,0.23454545454545456,0.24645354645354645,Evan Hull,NA,65.23218134722885,65,NA,0.02,11,FALSE,-0.3260780323816198,0.6214272239360481,0,2025,13,-4.5,19,NA,NA,0,3,0,0,0,0,0
00-0038454,BAL,CIN,2025_13_CIN_BAL,0.02154537057384695,0.15997092954598735,0.2458763144309193,-0.2539570223270857,-0.2539570223270857,FALSE,udfa,0.23809523809523808,0.1111111111111111,Keaton Mitchell,0.2755023929009327,62.696488428176835,66.05882352941177,0.1697494695650855,0.10800000000000001,11,FALSE,-0.024262547399472152,0.32831383876749126,-0.2002711615651018,2025,13,6.5,29.5,NA,NA,0,3,1,1,0,0,0
