position,rank,player_id,player_name,player_disp,posteam,defteam,start_pct,boom_pct,disp_vol,report_status,p_start_recal,p_boom_recal,pred_vol
TE,61,00-0035249,Josh Oliver,Josh Oliver,MIN,GB,19,7,5,NA,0.18939527421661503,0.06978275713277497,4.537944187308963
TE,62,00-0039530,Brevyn Spann-Ford,Brevyn Spann-Ford,DAL,NYG,19,5,4,NA,0.18807984245687215,0.05120346723481726,4.398691645389031
TE,63,00-0039050,Payne Durham,Payne Durham,TB,CIN,19,5,5,NA,0.1870703714027062,0.04792919143411586,4.553675298001366
TE,64,00-0038498,E.J. Jenkins,E.J. Jenkins,PHI,WAS,19,6,5,NA,0.18681788973049432,0.06212839979150592,4.536976981461186
TE,65,00-0041395,Eli Raridon,Eli Raridon,NE,SEA,19,6,5,NA,0.18620565523654492,0.05994232758805185,4.911627450046833
TE,66,00-0039356,Ja'Tavion Sanders,Ja'Tavion Sanders,CAR,CHI,19,6,5,NA,0.185129514651786,0.05666414667361906,4.638476316756341
TE,67,00-0033576,Eric Saubert,Eric Saubert,SEA,NE,18,7,5,NA,0.18440997838365583,0.06704857451201103,4.549873619325023
TE,68,00-0033858,Jonnu Smith,Jonnu Smith,GB,MIN,18,6,5,NA,0.1839249066839343,0.05884947016740101,4.625135521818981
TE,69,00-0040225,Thomas Fidone II,Thomas Fidone II,NYG,DAL,18,6,5,NA,0.1826578195690876,0.05939588329461221,4.541400276268574
TE,70,00-0037311,Ko Kieft,Ko Kieft,TB,CIN,18,5,4,NA,0.18241794393272767,0.0490204181443333,4.495094089841804
TE,71,00-0037005,Tommy Tremble,Tommy Tremble,CAR,CHI,18,6,5,NA,0.18016966544768812,0.06103530631949193,4.576806120367049
TE,72,00-0033246,Johnny Mundt,Johnny Mundt,PHI,WAS,18,5,4,NA,0.17984533294985636,0.05284123879349835,4.441397311935672
TE,73,00-0040215,Gavin Bartholomew,Gavin Bartholomew,MIN,GB,18,6,4,NA,0.17957229626801768,0.05721042642175668,4.434126149617666
TE,74,00-0040509,Ben Yurosek,Ben Yurosek,MIN,GB,18,5,4,NA,0.179500822427255,0.04629275136441496,4.434126149617666
