position,player_id,player_name,posteam,defteam,game_id,season,week,report_status,practice_status,thresh_start,thresh_boom,pred_vol,pred_tot,lo_80_tot,hi_80_tot,lo_90_tot,hi_90_tot,p_start,p_boom,p_start_recal,p_boom_recal,recal_method_start,recal_method_boom,kickoff_et,run_ts,as_of,run_mode
RB,00-0036997,Javonte Williams,DAL,DET,2025_14_DAL_DET,2025,14,NA,NA,15,20,19.230542940531976,-1.4648732162631224,-7.243044868757117,4.3132984362308715,-9.043950661698261,6.114204229172016,0.4575,0.22,0.47341464919571147,0.25850672152234344,platt_vegas,platt_vegas,2025-12-05T01:15:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
RB,00-0039040,De'Von Achane,MIA,NYJ,2025_14_MIA_NYJ,2025,14,NA,NA,15,20,20.686872378655497,-1.167108606887233,-7.1830644061920745,4.848847192417609,-9.058081332068562,6.723864118294097,0.4895,0.2665,0.47194694731361725,0.2919785116738584,platt_vegas,platt_vegas,2025-12-07T18:00:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
RB,00-0038597,Chase Brown,CIN,BUF,2025_14_CIN_BUF,2025,14,NA,Full Participation in Practice,15,20,19.660537139707017,-1.3115687471231348,-7.160762272133528,4.537624777887258,-8.983803735202281,6.360666240956011,0.462,0.2215,0.46087753875304033,0.24573326482152066,platt_vegas,platt_vegas,2025-12-07T18:00:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
RB,00-0039361,Bucky Irving,TB,NO,2025_14_NO_TB,2025,14,NA,Full Participation in Practice,15,20,18.763000467756175,-0.6368674526172479,-6.337003949626338,5.063269044391841,-8.113588214579442,6.839853309344946,0.473,0.2495,0.4595088513733218,0.2845461546529915,platt_vegas,platt_vegas,2025-12-07T18:00:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
RB,00-0038120,Breece Hall,NYJ,MIA,2025_14_MIA_NYJ,2025,14,NA,NA,15,20,20.762298236944332,-1.5640874915876992,-7.592151003661884,4.463976020486485,-9.47094158864318,6.342766605467782,0.4945,0.258,0.45911150690256103,0.26124338088376925,platt_vegas,platt_vegas,2025-12-07T18:00:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
RB,00-0038542,Bijan Robinson,ATL,SEA,2025_14_SEA_ATL,2025,14,NA,NA,15,20,22.315182563030355,-2.6046039849138323,-8.877716033903749,3.668508064076085,-10.832881873243025,5.623673903415361,0.506,0.2755,0.44354961951588684,0.24797118923250522,platt_vegas,platt_vegas,2025-12-07T18:00:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
RB,00-0033923,Kareem Hunt,KC,HOU,2025_14_HOU_KC,2025,14,NA,NA,15,20,19.24466055447682,-1.557790609026113,-7.338305274988775,4.222724056936549,-9.13994132427785,6.024360106225623,0.454,0.207,0.4417666444036046,0.2354554021493361,platt_vegas,platt_vegas,2025-12-08T01:20:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
RB,00-0040666,Omarion Hampton,LAC,PHI,2025_14_PHI_LAC,2025,14,Questionable,Full Participation in Practice,15,20,20.021791195060825,-1.8032141731572053,-7.711540103435651,4.10511175712124,-9.553011598978745,5.946583252664334,0.4535,0.218,0.4145507996492633,0.219270944685724,platt_vegas,platt_vegas,2025-12-09T01:15:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
RB,00-0035700,Josh Jacobs,GB,CHI,2025_14_CHI_GB,2025,14,NA,Full Participation in Practice,15,20,17.51596558791884,-0.9541666711574844,-6.441796818666272,4.5334634763513035,-8.152148382538805,6.243815040223836,0.404,0.179,0.40202412702906504,0.21303809472636578,platt_vegas,platt_vegas,2025-12-07T21:25:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
RB,00-0038134,Kenneth Walker III,SEA,ATL,2025_14_SEA_ATL,2025,14,NA,Full Participation in Practice,15,20,16.54700702828169,-0.24877712572876223,-5.5665704792620145,5.06901622780449,-7.223988332521593,6.726434081064069,0.4015,0.2005,0.394295939901282,0.23625827734236415,platt_vegas,platt_vegas,2025-12-07T18:00:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
RB,00-0036973,Travis Etienne,JAX,IND,2025_14_IND_JAX,2025,14,NA,NA,15,20,17.82415688851312,-1.7196200778445383,-7.260382463189776,3.8211423075007,-8.987293963434274,5.548053807745196,0.378,0.159,0.380740744475223,0.1866246024785083,platt_vegas,platt_vegas,2025-12-07T18:00:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
RB,00-0040784,Quinshon Judkins,CLE,TEN,2025_14_TEN_CLE,2025,14,NA,NA,15,20,18.13926425470737,-1.4289841190086194,-7.023647654163256,4.165679416146017,-8.767358740639505,5.909390502622266,0.408,0.1855,0.3558785979065001,0.18586900912142282,platt_vegas,platt_vegas,2025-12-07T18:00:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
RB,00-0033293,Aaron Jones,MIN,WAS,2025_14_WAS_MIN,2025,14,NA,Limited Participation in Practice,15,20,16.62606329354621,-0.7720599957666181,-6.103874082088887,4.559754090555651,-7.765661833028837,6.2215418414956005,0.3655,0.1725,0.35143794296919767,0.1940379821204555,platt_vegas,platt_vegas,2025-12-07T18:00:00Z,2026-08-31 09:26:58,2025-12-03 20:15:00,hindcast
