player_id,posteam,defteam,game_id,rolling_pass_epa_per_db,wt_dropbacks,wt_carries,wt_carry_share,wt_rush_epa_pg,wt_rush_epa_per_carry,prior_pass_epa_per_db,baseline_pass_epa_per_db,is_cold_start,draft_tier,prior_rush_epa_pg,prior_carries_pg,prior_rush_epa_per_carry,player_name,form_residual,wt_team_total_plays,wt_team_pass_rate,wt_snap_share,games_played_so_far,def_used_fallback,def_short_pass_epa_adj,def_deep_pass_epa_adj,def_rush_epa_adj,season,week,team_spread,implied_total,report_status,practice_status
00-0036971,JAX,TEN,2025_13_JAX_TEN,-0.13775354531208406,32.961781722030196,4.97046922634867,0.15070687250473924,0.8870371259159184,0.10800386390232129,-0.010758889506643242,-0.010758889506643242,FALSE,r1,0.8410782758768562,2.3,0.365686206902981,Trevor Lawrence,-0.1269946558054408,70.24036495944426,0.5076439463089836,0.9747885422687952,11,FALSE,-0.2718779548905134,0.9914029726028596,0.03516852950657982,2025,13,NA,NA,NA,NA
00-0037834,SF,CLE,2025_13_SF_CLE,0.11238258071959648,33.51774997058016,2.553602949829365,0.08289124326860176,1.6873770176364802,0.19905140428506224,0.16229509052075117,0.16229509052075117,FALSE,r6_udfa,1.7319791519153576,4.066666666666666,0.42589651276607154,Brock Purdy,-0.04991250980115469,61.30534850290117,0.5453039132594739,0.9759934099556742,11,FALSE,-0.5236335045861139,-0.25630925303398,-0.10137720259225835,2025,13,NA,NA,NA,Full Participation in Practice
00-0039150,CAR,LA,2025_13_LA_CAR,-0.13258448804031975,32.67412674150335,2.0808923777471806,0.11822268434439968,-0.05331671235158081,-0.11842880980392802,-0.07324973420691325,-0.07324973420691325,FALSE,r1,1.21138554099889,2.7142857142857144,0.4462999361574858,Bryce Young,-0.0593347538334065,60.21601803900023,0.5834566386709321,0.956366129013231,11,FALSE,-0.2599570447535919,-0.4932084995704358,-0.1970961933395441,2025,13,NA,NA,NA,NA
00-0039163,HOU,IND,2025_13_HOU_IND,0.2738833898091102,31.665137576026197,3.0326956879306888,0.1028981239794822,2.7932839456320795,1.1866024527734063,-0.022455057068302503,-0.022455057068302503,FALSE,r1,-0.14098464907329009,2.3529411764705883,-0.05991847585614829,C.J. Stroud,0.29633844687741273,71.3808817606226,0.5954058523426548,0.7835252561170647,11,FALSE,-0.30104658872397055,0.5019229717969953,-0.07122176025248285,2025,13,NA,NA,NA,Full Participation in Practice
00-0039732,DEN,WAS,2025_13_DEN_WAS,0.03827312179143218,37.18827026817508,2.5150872710787837,0.10920213017083215,1.035875267970026,0.2049301472622192,0.029816227153667538,0.029816227153667538,FALSE,r1,1.8208673275930796,4.588235294117647,0.3968556996036199,Bo Nix,0.00845689463776464,65.73793566022505,0.5794263802859774,0.9900643937032025,11,FALSE,0.12447135341298662,0.5971157523548486,0.07530493369685355,2025,13,NA,NA,NA,NA
00-0039851,NE,NYG,2025_13_NYG_NE,0.20121636052299485,33.98142171724406,4.096834917194855,0.1444384772632138,-0.5491545515222771,-0.10807967041466435,-0.08385738799991531,-0.08385738799991531,FALSE,r1,1.6377519196159063,4,0.40943797990397657,Drake Maye,0.2850737485229102,66.0452677116389,0.5671437166944534,1,12,FALSE,-0.16265746445810428,0.5198938967905545,0.3982129693065137,2025,13,NA,NA,NA,NA
00-0039918,CHI,PHI,2025_13_CHI_PHI,0.03184238863179501,35.85982530616923,4.144829376066979,0.1429066028104713,2.2853747385634136,0.514278127200704,-0.0889985273748756,-0.0889985273748756,FALSE,r1,0.8769782234720618,4.411764705882353,0.19878173065366733,Caleb Williams,0.1208409160066706,70.99176751530635,0.5594760628391193,1,11,FALSE,-0.35341571446660996,0.19438387862633713,-0.18392702685427256,2025,13,NA,NA,NA,NA
00-0040494,MIN,SEA,2025_13_MIN_SEA,-0.4405821909466475,4,0,0,0,NA,NA,-0.13183251473925311,TRUE,udfa,NA,NA,NA,Max Brosmer,-0.3087496762073944,56.30441655529921,0.5937800505475417,0.10942662779397472,11,FALSE,-0.2371573870237978,-0.04073011024878998,-0.10185903015966152,2025,13,NA,NA,NA,NA
00-0040668,CLE,SF,2025_13_SF_CLE,-0.4352924951406936,19.621621621621625,1.3783783783783785,0.055135135135135134,0.1387971357530537,0.10069596123260757,NA,-0.0628091833448867,TRUE,r4_5,NA,NA,NA,Shedeur Sanders,-0.37248331179580696,59.70214415358767,0.5210143175537757,0.7208108108108108,12,FALSE,0.08253962455438514,0.24636878554109354,0.07830324284045698,2025,13,NA,NA,NA,NA
00-0040676,TEN,JAX,2025_13_JAX_TEN,-0.09251836951162865,38.7204494245687,3.02625126183683,0.14773911650186847,2.0653368304637514,0.3921780135651213,NA,0.04459384335006605,TRUE,r1,NA,NA,NA,Cam Ward,-0.1371122128616947,63.89947436807043,0.6357696920311962,1,11,FALSE,-0.14707548528265957,-0.22369583965397338,0.006742969970622627,2025,13,NA,NA,NA,NA
