fold,pe_leaves,pe_lr,pe_min_node,pe_rounds,pe_inner_rmse
191,15,0.05,10,62,0.3161
192,15,0.05,20,66,0.318
193,15,0.05,20,45,0.3171
194,7,0.05,20,47,0.3148
195,7,0.02,10,153,0.3145
196,7,0.02,10,154,0.3133
197,7,0.02,10,162,0.3139
198,7,0.05,10,92,0.3144
199,15,0.02,10,167,0.3148
200,7,0.02,10,172,0.3148
201,7,0.02,10,172,0.3147
202,15,0.02,20,122,0.3149
203,15,0.02,10,155,0.3163
204,7,0.05,20,74,0.3193
