position,rank,player_id,player_name,player_disp,posteam,defteam,boom_pct,start_pct,disp_vol,boom_bar,p_boom_recal,board
RB,371,00-0035594,Travis Homer,Travis Homer,PIT,CIN,2,7,8,20,0.02364276137700072,flex
RB,372,00-0041436,DJ Herman,DJ Herman,MIA,KC,2,6,8,20,0.02315494684038758,flex
RB,373,00-0032104,Ameer Abdullah,Ameer Abdullah,JAX,NE,2,8,8,20,0.02266425044821627,flex
RB,374,00-0040556,Corey Kiner,Corey Kiner,NE,JAX,2,7,8,20,0.02266425044821627,flex
RB,375,00-0039021,Roschon Johnson,Roschon Johnson,CHI,PHI,2,7,9,20,0.02217057270615393,flex
RB,376,00-0037304,Connor Heyward,Connor Heyward,LV,NO,2,6,8,20,0.02217057270615393,flex
RB,377,00-0041096,Kaytron Allen,Kaytron Allen,WAS,SEA,2,6,9,20,0.02217057270615393,flex
RB,378,00-0038951,Sean Tucker,Sean Tucker,TB,MIN,2,6,8,20,0.02217057270615393,flex
RB,379,00-0034959,Andrew Beck,Andrew Beck,NYJ,DET,2,7,9,20,0.02167380784111855,flex
RB,380,00-0039384,Tyrone Tracy Jr.,Tyrone Tracy Jr.,NYG,TEN,2,7,9,20,0.02167380784111855,flex
RB,381,00-0037157,Bam Knight,Bam Knight,ARI,SF,2,7,9,20,0.02117384320736757,flex
RB,382,00-0036187,Reggie Gilliam,Reggie Gilliam,NE,JAX,2,6,8,20,0.02117384320736757,flex
RB,383,00-0036875,Rhamondre Stevenson,Rhamondre Stevenson,NE,JAX,2,14,15,20,0.02104183797223798,flex
RB,384,00-0036727,Adam Prentice,Adam Prentice,DEN,LA,2,7,8,20,0.02067055861659623,flex
RB,385,00-0040568,Lan Larison,Lan Larison,NE,JAX,2,5,7,20,0.02067055861659623,flex
RB,386,00-0041490,Eli Heidenreich,Eli Heidenreich,PIT,CIN,2,7,9,20,0.02016382557962863,flex
RB,387,00-0039875,Ray Davis,Ray Davis,BUF,LAC,2,7,8,20,0.0196535064447878,flex
RB,388,00-0037085,Tyler Badie,Tyler Badie,DEN,LA,2,6,8,20,0.0196535064447878,flex
WR,389,00-0041051,Zavion Thomas,Zavion Thomas,CHI,PHI,2,10,5,20,0.01886792452830188,flex
WR,390,00-0036331,Devin Duvernay,Devin Duvernay,ARI,SF,2,9,5,20,0.01886792452830188,flex
WR,391,00-0037231,Kevin Austin Jr.,Kevin Austin Jr.,NO,LV,2,9,5,20,0.01886792452830188,flex
WR,392,00-0037801,KaVontae Turpin,KaVontae Turpin,DAL,BAL,2,9,4,20,0.01886792452830188,flex
WR,393,00-0040277,Jahdae Walker,Jahdae Walker,CHI,PHI,2,9,4,20,0.01886792452830188,flex
WR,394,00-0040890,Cyrus Allen,Cyrus Allen,KC,MIA,2,9,4,20,0.01886792452830188,flex
WR,395,00-0038359,Xavier Smith,Xavier Smith,LA,DEN,2,9,4,20,0.01886792452830188,flex
RB,396,00-0031595,Michael Burton,Michael Burton,CLE,CAR,2,8,8,20,0.01862150742124698,flex
RB,397,00-0041125,Seth McGowan,Seth McGowan,IND,HOU,2,6,9,20,0.01809949682708719,flex
RB,398,00-0040238,LeQuint Allen Jr.,LeQuint Allen Jr.,JAX,NE,2,6,8,20,0.01809949682708719,flex
RB,399,00-0033376,Patrick Ricard,Patrick Ricard,NYG,TEN,2,6,8,20,0.01757323592880743,flex
RB,400,00-0041104,Demond Claiborne,Demond Claiborne,MIN,TB,2,6,8,20,0.01704252321281822,flex
WR,401,00-0040131,Kyle Williams,Kyle Williams,NE,JAX,2,10,4,20,0.01603206412825651,flex
WR,402,00-0035891,Cody White,Cody White,LV,NO,2,9,5,20,0.01603206412825651,flex
WR,403,00-0036463,Chris Blair,Chris Blair,ATL,GB,2,9,5,20,0.01603206412825651,flex
WR,404,00-0035208,Olamide Zaccheaus,Olamide Zaccheaus,ATL,GB,2,9,5,20,0.01603206412825651,flex
WR,405,00-0040894,Malik Benson,Malik Benson,LV,NO,2,8,4,20,0.01603206412825651,flex
WR,406,00-0039920,Malachi Corley,Malachi Corley,CLE,CAR,2,8,5,20,0.01603206412825651,flex
WR,407,00-0036862,Ben Skowronek,Ben Skowronek,PIT,CIN,2,8,4,20,0.01603206412825651,flex
WR,408,00-0035406,Lil'Jordan Humphrey,Lil'Jordan Humphrey,DEN,LA,2,8,4,20,0.01603206412825651,flex
WR,409,00-0040705,Chimere Dike,Chimere Dike,TEN,NYG,2,8,4,20,0.01603206412825651,flex
WR,410,00-0035021,Ashton Dulin,Ashton Dulin,IND,HOU,2,8,4,20,0.01603206412825651,flex
WR,411,00-0041529,Kevin Coleman Jr.,Kevin Coleman Jr.,MIA,KC,2,8,5,20,0.01603206412825651,flex
WR,412,00-0040785,Dohnte Meyers,Dohnte Meyers,CIN,PIT,2,8,4,20,0.01603206412825651,flex
WR,413,00-0040164,Jaylin Lane,Jaylin Lane,WAS,SEA,2,8,4,20,0.01603206412825651,flex
WR,414,00-0038824,Ryan Miller,Ryan Miller,MIA,KC,2,7,4,20,0.01603206412825651,flex
WR,415,00-0040563,Efton Chism III,Efton Chism III,NE,JAX,2,7,4,20,0.01603206412825651,flex
RB,416,00-0040198,Ollie Gordon II,Ollie Gordon II,MIA,KC,2,6,8,20,0.01596684463720429,flex
RB,417,00-0039686,Colson Yankoff,Colson Yankoff,WAS,SEA,2,6,8,20,0.0131814972680902,flex
WR,418,00-0039919,Rome Odunze,Rome Odunze,CHI,PHI,2,12,7,20,0.01068075117370891,flex
RB,419,00-0037594,Julius Chestnut,Julius Chestnut,TEN,NYG,2,5,8,20,0.01021865509018003,flex
WR,420,00-0038563,Tre Tucker,Tre Tucker,LV,NO,2,15,6,20,0.00780254777070062,flex
RB,421,00-0039738,Blake Corum,Blake Corum,LA,DEN,2,11,13,20,0.00497419724995899,flex
TE,422,00-0034351,Dallas Goedert,Dallas Goedert,PHI,CHI,2,15,5,17,0.00130736429769023,flex
