player_id,posteam,defteam,game_id,rolling_epa_per_opp,wt_target_share,wt_air_yards_share,wt_air_yards_per_target,prior_epa_per_opp,baseline_epa_per_opp,is_cold_start,draft_tier,player_name,form_residual,wt_team_total_plays,wt_snap_share,games_played_so_far,def_used_fallback,def_short_pass_epa_adj,def_deep_pass_epa_adj,season,week,report_status,practice_status
00-0036309,ATL,SEA,2025_14_SEA_ATL,0.4269551682979453,0.15922927425725972,0.32318054680939623,15.329111601868902,0.4142168730663383,0.4142168730663383,FALSE,r4_5,Darnell Mooney,0.012738295231606966,63.84622696041835,0.8791434171299721,12,FALSE,-0.5762599486191089,-0.4603059245280793,2025,14,NA,NA
00-0036322,MIN,WAS,2025_14_WAS_MIN,-0.700672177083022,0.2508261264752506,0.37060377445277737,9.76503833738393,0.41683838703318954,0.41683838703318954,FALSE,r1,Justin Jefferson,-1.1175105641162115,55.778395331161605,0.982176628506811,12,FALSE,-0.08291037943936026,0.6710979877507451,2025,14,NA,NA
00-0036358,DAL,DET,2025_14_DAL_DET,0.15596774389810714,0.2521210781839282,0.3739614105330762,11.599477349250261,0.12846782508986015,0.12846782508986015,FALSE,r1,CeeDee Lamb,0.02749991880824698,70.56008871197426,0.8025061806832372,12,FALSE,-0.292695974349255,0.3793598109231714,2025,14,NA,NA
00-0036407,CLE,TEN,2025_14_TEN_CLE,-1.0499880960068366,0.176859568396248,0.32607872719719344,13.017011996066767,0.26215242477629935,0.26215242477629935,FALSE,r1,Jerry Jeudy,-1.312140520783136,61.3343113446504,0.8110202888194936,12,FALSE,-0.3585222715355754,0.7890048031277219,2025,14,NA,NA
00-0036410,CIN,BUF,2025_14_CIN_BUF,0.30976595781147975,0.16259131288595086,0.2631096882065101,13.254733130990038,0.5127390544799874,0.5127390544799874,FALSE,r2_3,Tee Higgins,-0.2029730966685076,72.00321547201546,0.8464107714942002,12,FALSE,-0.5805530977013643,0.19160115486168058,2025,14,NA,Full Participation in Practice
00-0036415,TEN,CLE,2025_14_TEN_CLE,0.40104146572130217,0.11868704886313061,0.19802894137505286,10.028666657678624,0.05174881749736078,0.05174881749736078,FALSE,r2_3,Van Jefferson,0.3492926482239414,64.30204202696075,0.8386675508652957,12,FALSE,-0.848952089985985,-0.02316977938202017,2025,14,NA,NA
00-0036550,BAL,PIT,2025_14_PIT_BAL,0.01320756463948368,0.09235770375746351,0.14582573892892042,14.768290524974677,0.6247497098749393,0.6247497098749393,FALSE,r1,Rashod Bateman,-0.6115421452354556,61.963450127321224,0.6846076298364795,12,FALSE,-0.6419517984875595,1.0662176413361764,2025,14,NA,Full Participation in Practice
00-0036554,HOU,KC,2025_14_HOU_KC,0.5886145873915323,0.22834785760129797,0.3532648643068528,13.469477605297591,0.43265523566382735,0.43265523566382735,FALSE,r2_3,Nico Collins,0.15595935172770492,71.98446697821467,0.7963466811374142,12,FALSE,-0.3578814095825479,0.15159962260909296,2025,14,NA,NA
00-0036613,MIA,NYJ,2025_14_MIA_NYJ,0.33506373871765843,0.2602598746257234,0.6030028094477379,15.583949863524875,0.47242167023816106,0.47242167023816106,FALSE,r1,Jaylen Waddle,-0.13735793152050263,59.32123037306554,0.8445541397516941,12,FALSE,0.027436299803473802,0.07202271902148559,2025,14,NA,NA
00-0036900,CIN,BUF,2025_14_CIN_BUF,0.2674047386414515,0.3227412354958381,0.3939942983464576,9.78227496886778,0.4400596645590096,0.4400596645590096,FALSE,r1,Ja'Marr Chase,-0.1726549259175581,72.00321547201546,0.9837601642115268,12,FALSE,-0.5805530977013643,0.19160115486168058,2025,14,NA,NA
00-0036912,PHI,LAC,2025_14_PHI_LAC,0.2014805999002629,0.25561562206879324,0.40377069710424934,13.131959071443147,0.6310994172437339,0.6310994172437339,FALSE,r1,DeVonta Smith,-0.42961881734347096,64.96153398912334,0.9391943793279529,12,FALSE,-0.11319925340815756,-0.9508964092456224,2025,14,NA,NA
00-0036963,DET,DAL,2025_14_DAL_DET,-0.3668605133466263,0.2165600510601446,0.3932743019917873,6.757878742585026,0.6835567584462947,0.6835567584462947,FALSE,r4_5,Amon-Ra St. Brown,-1.050417271792921,65.52850192372186,0.6886926780601333,12,FALSE,-0.29277001951091963,0.45184342553852513,2025,14,Questionable,Did Not Participate In Practice
00-0037239,NO,TB,2025_14_NO_TB,0.1514091033430553,0.21107426512536442,0.3828128866601974,12.837500310893036,0.03381219634851211,0.03381219634851211,FALSE,r1,Chris Olave,0.11759690699454318,69.39017932828992,0.8024647401922205,12,FALSE,-0.40562004630445153,0.1368271243341237,2025,14,Questionable,Limited Participation in Practice
00-0037240,DET,DAL,2025_14_DAL_DET,0.3751906474312543,0.1933534935855536,0.31914290843437165,8.995156729383137,0.4133762243792353,0.4133762243792353,FALSE,r1,Jameson Williams,-0.038185576947981026,65.52850192372186,0.9330098368501856,12,FALSE,-0.29277001951091963,0.45184342553852513,2025,14,NA,NA
00-0037247,DAL,DET,2025_14_DAL_DET,0.6560071368156856,0.28126218460590474,0.3929455565652,10.530730607947438,0.2710449709330059,0.2710449709330059,FALSE,r2_3,George Pickens,0.3849621658826797,70.56008871197426,0.7721268459893391,12,FALSE,-0.292695974349255,0.3793598109231714,2025,14,NA,Full Participation in Practice
