fold,pt_num_leaves,pt_lr,pt_min_node,pt_rounds,pt_inner_rmse,vl_num_leaves,vl_lr,vl_min_node,vl_rounds,vl_inner_rmse
116,31,0.02,50,124,7.2906,7,0.05,10,75,2.7409
117,31,0.02,100,129,7.2951,15,0.02,10,175,2.7383
118,15,0.02,100,160,7.2841,15,0.05,20,60,2.7391
119,31,0.02,100,134,7.2989,31,0.02,20,160,2.7508
120,31,0.05,10,98,7.2813,15,0.05,20,76,2.7392
121,31,0.05,10,96,7.2754,15,0.05,20,76,2.7474
122,15,0.05,100,61,7.2895,31,0.02,10,221,2.7098
123,15,0.05,100,78,7.2959,15,0.05,20,83,2.7218
124,15,0.02,20,199,7.2618,31,0.02,10,150,2.7244
125,15,0.02,100,194,7.2837,7,0.02,20,218,2.7143
126,15,0.02,100,216,7.2603,7,0.02,20,218,2.7101
127,7,0.02,100,255,7.2301,31,0.05,10,80,2.6862
128,15,0.02,100,180,7.2411,7,0.05,100,78,2.7162
129,7,0.05,100,73,7.205,15,0.05,50,135,2.7068
130,7,0.05,100,100,7.1789,7,0.05,100,65,2.7016
131,7,0.05,100,111,7.1813,7,0.05,100,65,2.7012
132,7,0.05,10,135,7.1553,7,0.05,100,68,2.6734
133,15,0.02,100,231,7.2051,7,0.05,50,75,2.671
134,7,0.02,100,283,7.1815,15,0.05,20,78,2.6546
135,7,0.05,100,119,7.229,7,0.05,100,110,2.6832
136,7,0.05,100,119,7.2227,15,0.05,50,89,2.6817
137,15,0.05,50,97,7.1957,7,0.02,20,292,2.6627
138,7,0.05,20,200,7.1352,7,0.05,20,96,2.6532
139,7,0.05,20,148,7.1232,7,0.02,50,238,2.664
140,31,0.02,10,147,7.1473,7,0.02,50,195,2.6663
141,31,0.02,10,147,7.1498,7,0.02,10,270,2.6522
142,7,0.05,50,138,7.1459,7,0.02,50,200,2.6549
143,15,0.02,100,220,7.1661,31,0.05,10,65,2.6619
144,7,0.05,10,189,7.0781,7,0.02,10,210,2.6471
145,15,0.05,100,82,7.0161,7,0.02,50,205,2.6266
146,15,0.05,100,82,7.011,7,0.02,50,205,2.6235
147,15,0.05,50,80,6.9989,7,0.02,10,193,2.629
148,63,0.02,10,154,6.996,7,0.05,10,114,2.6197
149,7,0.02,10,347,6.9731,7,0.05,10,96,2.6186
150,7,0.05,20,189,6.9593,7,0.05,100,110,2.611
151,7,0.02,20,300,6.9423,7,0.05,100,110,2.6059
152,15,0.05,10,94,6.945,7,0.05,10,158,2.5969
153,31,0.05,20,58,6.9519,7,0.02,20,246,2.6144
154,15,0.02,10,219,6.9724,7,0.02,10,216,2.6174
155,7,0.05,50,132,7.0174,7,0.05,50,96,2.6191
156,7,0.05,50,131,7.066,7,0.05,50,96,2.624
157,15,0.02,10,195,7.0538,7,0.02,50,217,2.631
158,31,0.02,20,150,7.0395,15,0.02,10,226,2.6306
159,15,0.02,10,182,7.0512,7,0.02,20,265,2.6358
160,7,0.02,50,413,7.0215,7,0.02,50,245,2.6208
161,7,0.05,100,157,7.0435,7,0.02,50,245,2.627
162,7,0.05,20,140,7.0373,7,0.02,20,273,2.6122
163,15,0.05,50,100,7.0234,7,0.05,10,114,2.616
164,7,0.05,100,139,7.0543,7,0.05,100,119,2.6143
165,15,0.02,20,277,6.9943,15,0.02,20,208,2.6174
166,7,0.02,100,329,6.9808,7,0.02,20,285,2.6099
167,7,0.02,20,330,7.001,7,0.02,10,272,2.5975
168,7,0.02,100,421,7.0115,31,0.02,10,167,2.5976
169,7,0.05,100,207,6.9466,7,0.05,20,105,2.5669
170,15,0.02,10,208,6.965,7,0.05,100,117,2.5709
171,15,0.02,10,213,6.9709,7,0.05,100,117,2.5814
172,7,0.02,50,366,7.014,15,0.05,20,120,2.5859
173,7,0.05,20,153,7.0073,15,0.05,50,70,2.6039
174,7,0.05,10,157,7.0315,15,0.02,20,185,2.619
175,7,0.05,20,155,7.0304,15,0.05,20,127,2.6035
176,7,0.05,20,155,7.0056,15,0.05,20,127,2.5994
177,7,0.02,50,443,6.9935,15,0.05,10,70,2.6157
178,7,0.02,20,379,7.0066,15,0.05,100,108,2.6161
179,7,0.05,10,90,7.0089,7,0.05,50,78,2.6058
180,7,0.05,10,121,7.0163,7,0.05,100,87,2.5923
181,15,0.05,10,102,7.0067,7,0.05,100,87,2.5879
182,15,0.02,100,189,7.0296,7,0.05,100,103,2.597
183,7,0.05,50,129,7.0653,31,0.02,50,185,2.6078
184,7,0.05,50,164,7.0913,15,0.05,50,114,2.6016
185,7,0.02,100,325,7.0779,15,0.05,100,79,2.605
186,7,0.02,100,325,7.1089,15,0.05,50,74,2.6036
187,7,0.05,10,121,7.0955,15,0.05,100,88,2.6058
188,7,0.02,20,264,7.069,15,0.02,100,235,2.6133
189,7,0.05,100,124,7.0982,15,0.05,100,91,2.6109
190,7,0.02,10,360,7.073,15,0.05,10,140,2.6073
191,7,0.02,20,314,7.0653,15,0.05,100,94,2.597
192,15,0.05,20,90,7.0451,15,0.05,100,146,2.584
193,7,0.05,20,120,7.0289,7,0.02,20,333,2.5722
194,7,0.02,50,260,7.0275,7,0.05,20,130,2.5869
195,7,0.02,50,325,6.9605,7,0.02,100,325,2.5783
196,7,0.02,50,325,6.9497,7,0.02,100,325,2.575
197,7,0.02,100,255,6.9727,7,0.05,50,151,2.5822
198,7,0.02,100,325,6.9797,15,0.05,100,89,2.5764
199,7,0.02,100,315,7.0027,31,0.05,100,77,2.5802
200,15,0.02,20,315,7.0234,15,0.02,100,250,2.5864
201,7,0.05,50,135,7.0294,15,0.02,100,240,2.5873
202,7,0.05,100,125,7.0173,31,0.05,100,64,2.5807
203,15,0.05,100,90,7.0126,31,0.05,50,63,2.5853
204,7,0.02,50,279,7.0185,63,0.02,50,176,2.5812
