position,player_id,player_name,posteam,defteam,week,report_status,pred_vol,p_start,p_boom,p_start_base,p_boom_base,pred_vol_base,n_base_weeks,opp_def_adj_now,implied_total_now,team_spread_now,opp_def_adj_base,implied_total_base,team_spread_base,delta_start_pp,delta_boom_pp,delta_vol,injury_flag
RB,00-0035700,Josh Jacobs,GB,DEN,15,Questionable,18.69308294454046,0.439,0.2357875873467482,0.3995728973157555,0.2217617161669731,18.03479042390081,2,0.0301484145490746,NA,NA,-0.01501372557976914,NA,NA,3.942710268424449,1.4025871179775107,0.6582925206396517,TRUE
WR,00-0036252,Michael Pittman,IND,SEA,15,NA,8.382069671160906,0.31221872944724643,0.1612799853097049,0.2731966434039655,0.11951957099278836,7.116980857401968,2,-0.6278518620171377,NA,NA,-0.32327054165818897,NA,NA,3.9022086043280946,4.176041431691653,1.265088813758938,FALSE
WR,00-0037261,Khalil Shakir,BUF,NE,15,NA,6.026504074630147,0.18745165124751156,0.069855660089188365,0.22505540238510285,0.09392224990932281,6.471310659419801,2,-0.061941776418595926,NA,NA,-0.11196690622063395,NA,NA,-3.760375113759129,-2.4066589820134445,-0.44480658478965474,FALSE
WR,00-0037247,George Pickens,DAL,MIN,15,NA,8.293466405293229,0.4080120137362084,0.2233484238521793,0.44471848086884597,0.25273814201093653,8.556204537388721,2,-0.23510135161920845,NA,NA,-0.04168354469402813,NA,NA,-3.670646713263759,-2.938971815875724,-0.26273813209549246,FALSE
QB,00-0036264,Jordan Love,GB,DEN,15,NA,1.5647796404581285,0.2715,0.11011076566607816,0.3025,0.12459398145965248,1.6681479746882013,2,0.2898231833047725,NA,NA,-9.200651066455963e-4,NA,NA,-3.099999999999997,-1.448321579357431,-0.10336833423007286,FALSE
RB,00-0039391,Kimani Vidal,LAC,KC,15,NA,18.24957807368069,0.4125,0.2135843722573808,0.3822555815477943,0.2159328394652756,18.327277525778605,2,-0.24838920375365575,NA,NA,-0.14275032024760673,NA,NA,3.024441845220566,-0.23484672078948055,-0.07769945209791373,FALSE
TE,00-0038935,Brenton Strange,JAX,NYJ,15,NA,5.874243837565695,0.3092692606794028,0.1331750796507002,0.2793755031368056,0.10544109991695866,5.608425592318698,2,0.3781784496365971,NA,NA,0.41886980216441905,NA,NA,2.9893757542597212,2.773397973374153,0.26581824524699726,FALSE
WR,00-0039064,Zay Flowers,BAL,CIN,15,NA,8.822755300205229,0.45630586448318894,0.2575457678020003,0.42691497105842474,0.23857757561280946,8.049042591105014,2,-0.051335474489610844,NA,NA,0.16757227209665954,NA,NA,2.9390893424764197,1.8968192189190825,0.7737127091002147,FALSE
RB,00-0032764,Derrick Henry,BAL,CIN,15,NA,18.04394441349522,0.446,0.23784312924906337,0.4170759648987368,0.23583227845676413,17.94311299458935,2,-0.11162887699863186,NA,NA,-0.10450018248565868,NA,NA,2.8924035101263232,0.20108507922992347,0.10083141890586944,FALSE
RB,00-0033293,Aaron Jones,MIN,DAL,15,NA,15.660521309223157,0.305,0.154184815203161,0.33358608937147993,0.16239846709403122,16.29466517990194,2,-0.02751887598375626,NA,NA,-0.16430131144871357,NA,NA,-2.858608937147994,-0.8213651890870227,-0.6341438706787841,FALSE
