player_id,posteam,defteam,game_id,rolling_epa_per_opp,wt_carry_share,wt_target_share,prior_epa_per_opp,baseline_epa_per_opp,is_cold_start,draft_tier,player_name,form_residual,wt_team_total_plays,wt_snap_share,games_played_so_far,def_used_fallback,def_rush_epa_adj,def_short_pass_epa_adj,def_deep_pass_epa_adj,season,week,team_spread,implied_total,report_status,practice_status,own_q_int,own_practice_int,weeks_missed,return_from_absence,above_new_out_share,above_q_share,above_long_out_share,baseline_carry_share,baseline_target_share,baseline_snap_share,baseline_team_total_plays
00-0037263,ATL,SEA,2025_14_SEA_ATL,-0.00798042787130836,0.2790904037191373,0.19198029649998957,0.05904300586686099,0.05904300586686099,FALSE,r4_5,Tyler Allgeier,-0.06702343373816937,63.84622696041835,0.3012036111705632,12,FALSE,-0.27889883130967336,-0.17392341990783447,-0.1355414759253203,2025,14,NA,NA,NA,NA,0,3,0,0,0,0,0,0.3026315789473684,0.15294117647058825,0.24941176470588236,68.17647058823529
00-0037525,MIN,WAS,2025_14_WAS_MIN,0.01825966019699865,0.39387769398371447,0.11551455617409868,-0.00487370627528059,-0.00487370627528059,FALSE,udfa,Jordan Mason,0.02313336647227925,55.778395331161605,0.29710017678355055,12,FALSE,-0.0290043506278787,0.6979900063393711,0,2025,14,NA,NA,NA,NA,0,3,0,0,0,0,0,0.5953307392996109,0.22950819672131148,0.4866666666666667,66.41176470588235
00-0037557,LA,ARI,2025_14_LA_ARI,NA,NA,NA,0.08708119928840981,0.08708119928840981,FALSE,udfa,Ronnie Rivers,NA,59.255112651062305,0,12,FALSE,-0.07681243963931823,-0.4503228136398221,0.36397620859067387,2025,14,NA,NA,NA,NA,0,3,0,0,0,0,0,0.20754716981132076,0.2727272727272727,0.07352941176470588,64.47058823529412
00-0037840,LA,ARI,2025_14_LA_ARI,0.1487585670728821,0.615375943596988,0.7618376725914715,-0.07431148217438772,-0.07431148217438772,FALSE,r4_5,Kyren Williams,0.2230700492472698,59.255112651062305,0.6595160444975487,12,FALSE,-0.07681243963931823,-0.4503228136398221,0.36397620859067387,2025,14,NA,NA,NA,Full Participation in Practice,0,2,0,0,0,0,0,0.8272251308900523,0.8333333333333334,0.86375,64.47058823529412
00-0038120,NYJ,MIA,2025_14_MIA_NYJ,-0.0086053762275643,0.8696985916299982,0.6180171480605772,-0.07759796022637655,-0.07759796022637655,FALSE,r2_3,Breece Hall,0.06899258399881224,61.87544259084804,0.7366740087734525,12,FALSE,-0.21656350334901991,0.5559346681589973,0,2025,14,NA,NA,NA,NA,0,3,0,0,0,0,0,0.6773162939297125,0.7307692307692307,0.72375,64.47058823529412
00-0038134,SEA,ATL,2025_14_SEA_ATL,-0.00264505080841587,0.5092464094370411,0.8751555352575606,-0.0352728083752965,-0.0352728083752965,FALSE,r2_3,Kenneth Walker III,0.03262775756688062,63.9118761807338,0.5428508327701763,12,FALSE,-0.02081956537743915,-0.18695628082051652,0.01276958887514101,2025,14,NA,NA,NA,Full Participation in Practice,0,2,0,0,0,0,0,0.7611940298507462,0.6385542168674698,0.6327272727272727,66.41176470588235
00-0038454,BAL,PIT,2025_14_PIT_BAL,0.04151875349001097,0.1512740999460911,0.4112258116342339,-0.2539570223270857,-0.2539570223270857,FALSE,udfa,Keaton Mitchell,0.2954757758170967,61.963450127321224,0.1661798743134681,12,FALSE,-0.18473785110382873,0.2613018429430858,0,2025,14,NA,NA,NA,NA,0,3,0,0,0,0,0,0.23809523809523808,0.1111111111111111,0.10800000000000001,66.05882352941177
00-0038542,ATL,SEA,2025_14_SEA_ATL,0.10475896769309904,0.7209095962808626,0.8080197035000103,0.06786461100555133,0.06786461100555133,FALSE,r1,Bijan Robinson,0.0368943566875477,63.84622696041835,0.8289846826912219,12,FALSE,-0.27889883130967336,-0.17392341990783447,-0.1355414759253203,2025,14,NA,NA,NA,NA,0,3,0,0,0,0,0,0.668859649122807,0.8470588235294118,0.7535294117647059,68.17647058823529
00-0038597,CIN,BUF,2025_14_CIN_BUF,0.0191331538105873,0.7356352259526351,0.8590521004960463,0.01699411039393229,0.01699411039393229,FALSE,r4_5,Chase Brown,0.00213904341665501,72.00321547201546,0.7604944209538222,12,FALSE,-0.02983715780561118,-0.20516134137943,0,2025,14,NA,NA,NA,Full Participation in Practice,0,2,0,0,0,0,0,0.7371794871794872,0.6989247311827957,0.6275,68.17647058823529
00-0038611,WAS,MIN,2025_14_WAS_MIN,-0.10785614001354954,0.4071259554782093,0.09976726588818988,0.2521845568642473,0.2521845568642473,FALSE,r6_udfa,Chris Rodriguez Jr.,-0.36004069687779683,70.45583528963684,0.339911861013413,12,FALSE,-0.19573800974222916,-0.08450395871555964,0.34581362585005426,2025,14,NA,NA,NA,NA,0,3,0,0,0,0,0,0.24475524475524477,0.038461538461538464,0.11777777777777779,68.88235294117646
