player_id,player_name,posteam,defteam,season,week,game_id,epa_per_opp_obs,opportunities,carries,targets,carry_share_obs,target_share_obs,team_total_plays_obs,total_epa,prior_epa_per_opp,baseline_epa_per_opp,rolling_epa_per_opp,form_residual,is_cold_start,draft_tier,wt_carry_share,wt_target_share,wt_snap_share,wt_team_total_plays,def_rush_epa_adj,def_short_pass_epa_adj,def_deep_pass_epa_adj,games_played_so_far,def_used_fallback
00-0033897,Joe Mixon,HOU,DAL,2024,11,2024_11_HOU_DAL,0.3934095152830989,24,20,4,0.9523809523809523,0.8,67,9.441828366794374,-0.04563930326029211,-0.04563930326029211,-0.008556130142679197,0.037083173117612916,FALSE,r2_3,0.8577637502185149,0.6663871345488215,0.6497451384523603,71.36781427110068,-0.06730893628442718,0.5755455697806521,-0.09579944076586844,9,FALSE
00-0033897,Joe Mixon,HOU,TEN,2024,12,2024_12_TEN_HOU,-0.4390514803206315,20,14,6,1,1,59,-8.78102960641263,-0.04563930326029211,-0.04563930326029211,0.05888240052355827,0.10452170378385038,FALSE,r2_3,0.9236869321213572,0.6924111273243618,0.7204434587558415,70.95192464875014,-0.1023702067820703,0.06770409451988624,0,10,FALSE
00-0033897,Joe Mixon,HOU,JAX,2024,13,2024_13_HOU_JAX,-0.007037947329431262,26,20,6,1,0.8571428571428571,61,-0.1829866305652128,-0.04563930326029211,-0.04563930326029211,-0.06612431998599633,-0.020485016725704214,FALSE,r2_3,0.9475105742849401,0.7684597730150251,0.7410374784497651,68.56092965565126,-0.09414127780709959,0.12527180900002868,-0.23666472460694063,11,FALSE
00-0033897,Joe Mixon,HOU,MIA,2024,15,2024_15_MIA_HOU,-0.30737678358095,18,12,6,0.9230769230769231,1,49,-5.5327821044571,-0.04563930326029211,-0.04563930326029211,-0.0476480200955499,-0.002008716835257787,FALSE,r2_3,0.9642463036353301,0.7817622356341998,0.7411854440907275,65.99109509741633,-0.10639070845741426,0.14018675982094417,-0.1024444333007681,13,FALSE
00-0033897,Joe Mixon,HOU,KC,2024,16,2024_16_HOU_KC,-0.0156310044330894,16,14,2,0.9333333333333333,0.4,61,-0.2500960709294304,-0.04563930326029211,-0.04563930326029211,-0.12757399748113116,-0.08193469422083904,FALSE,r2_3,0.9659593312212793,0.9341391594463397,0.7355789282097,59.49426928061397,-0.062225495252704495,-0.7102960577463601,0,14,FALSE
00-0033897,Joe Mixon,HOU,BAL,2024,17,2024_17_BAL_HOU,-0.4372586776686755,12,9,3,0.5625,0.75,57,-5.247104132024106,-0.04563930326029211,-0.04563930326029211,-0.09336502570512252,-0.04772572244483041,FALSE,r2_3,0.9576909344849336,0.7822335300350269,0.712277963062518,58.762998815263714,-0.08983575496180796,-0.25435989446301294,0.18501286175608736,15,FALSE
00-0033897,Joe Mixon,HOU,TEN,2024,18,2024_18_HOU_TEN,0.24510224881911805,6,5,1,0.19230769230769232,0.16666666666666666,63,1.4706134929147083,-0.04563930326029211,-0.04563930326029211,-0.2443312620462998,-0.19869195878600768,FALSE,r2_3,0.8517664462479008,0.7714164375719093,0.6379546530812412,57.30213640140146,0.0395029882241044,0.3524618685535374,-0.060473891082279574,16,FALSE
00-0033906,Alvin Kamara,NO,TB,2023,4,2023_04_TB_NO,-0.21417787881051745,25,11,14,0.8461538461538461,0.7777777777777778,66,-5.354446970262936,-0.14817108718383495,-0.14817108718383495,NA,NA,FALSE,r2_3,NA,NA,NA,67.52672497570457,0.024594508460081994,-0.8809349546839927,0.020224073266380805,3,FALSE
00-0033906,Alvin Kamara,NO,NE,2023,5,2023_05_NO_NE,0.05420314429327846,25,22,3,0.6470588235294118,0.42857142857142855,74,1.3550786073319614,-0.14817108718383495,-0.14817108718383495,-0.21417787881051745,-0.06600679162668249,FALSE,r2_3,0.8461538461538461,0.7777777777777778,0.75,67.04762091554545,-0.0337513288029698,0.2163465734828591,0,4,FALSE
00-0033906,Alvin Kamara,NO,HOU,2023,6,2023_06_NO_HOU,-0.2855958369155242,27,19,8,0.9047619047619048,0.8,83,-7.711087596719153,-0.14817108718383495,-0.14817108718383495,-0.06910705551116832,0.07906403167266664,FALSE,r2_3,0.7385349150055033,0.589017589017589,0.6851351351351352,68.92226916601643,-0.11998456242274122,0.247628581782747,0.6504507004500845,5,FALSE
