player_id,season,week,opportunities,epa_per_opp_obs,total_epa,pred_eff,med_eff,lo_50_eff,hi_50_eff,lo_80_eff,hi_80_eff,lo_90_eff,hi_90_eff,pred_vol,med_vol,lo_50_vol,hi_50_vol,lo_80_vol,hi_80_vol,lo_90_vol,hi_90_vol,fold,alpha_fold,pred_tot,med_tot,lo_50_tot,hi_50_tot,lo_80_tot,hi_80_tot,lo_90_tot,hi_90_tot,it_c,p_start_sim,p_boom_sim,p_start_norm,p_boom_norm,position,fantasy_points_ppr,hit_start,hit_boom
00-0033858,2025,9,5,0.09880678178742527,0.4940339089371264,0.24130707868728168,0.26828206201660265,-0.13870177642607945,0.6574675895771513,-0.4965529838799078,1.0515506847882403,-0.7904929238168548,1.351049315650243,5.177868909976571,4.646627149668337,3.715506108472416,6.293991495045593,2.79304712922076,8.32674163457676,2.299048224505738,9.69081979672155,195,0.5685344686751397,1.2494564204921457,1.4905011232730596,-0.49762614323878673,3.584420892203834,-2.389001616645915,5.539367893130112,-4.002039643455503,6.8059490998172905,0,0.279,0.096,0.2879521825209399,0.06280074451508315,TE,5.5,FALSE,FALSE
00-0033881,2025,9,3,-1.050471756219243,-3.151415268657729,0.18305745163668424,0.27689169768912614,-0.13009214075355602,0.6660772252496747,-0.4879433482073844,1.060160320460764,-0.7818832881443314,1.3596589513227664,5.942327002005108,5.411085241696874,4.4799642005009535,7.05844958707413,3.557505221249297,9.091199726605296,3.063506316534275,10.455277888750087,195,0.5685344686751397,1.0877872377789128,1.3465850327901985,-0.7879690430267319,3.594723294606144,-2.818645496020948,5.693653357647159,-4.550484776418237,7.053519057709039,0,0.3295,0.1155,0.3594175986592448,0.09550605281444492,TE,0,FALSE,FALSE
00-0034383,2025,9,8,0.22964897584074503,1.8371918067259605,0.17778482180448263,0.19510175814079972,-0.21188208030188244,0.5842872857013484,-0.5697332877557107,0.9783703809124376,-0.8636732276926578,1.27786901177444,6.146416351673847,5.615174591365613,4.6840535501696925,7.262538936742869,3.761594570918036,9.295289076274036,3.267595666203014,10.659367238418827,195,0.5685344686751397,1.092739535818493,1.3602400218743282,-0.8460935087826578,3.6839772767850993,-2.9450562846223964,5.85348885255487,-4.735132777571884,7.259083269313129,0,0.362,0.139,0.3829142967581446,0.10872003098829795,TE,13.7,TRUE,FALSE
00-0034753,2025,9,3,2.1838936150694885,6.551680845208466,0.331355796288057,0.2325976568782722,-0.17438618156440994,0.6217831844388209,-0.5322373890182384,1.01586627964991,-0.8261773289551853,1.3153649105119125,6.2956443593729405,5.764402599064707,4.833281557868786,7.411766944441963,3.91082257861713,9.444517083973128,3.416823673902108,10.80859524611792,195,0.5685344686751397,2.0860982498464353,2.3535352459578567,0.1477253778754115,4.676720973088919,-1.9507392193182675,6.845717625796752,-3.740390846284486,8.250978431529836,0,0.443,0.2055,0.4702732962300501,0.15620005747082513,TE,16.6,TRUE,FALSE
00-0035229,2025,9,3,0.695585788305228,2.086757364915684,0.21690068469999976,0.2288848718745524,-0.17809896656812974,0.618070399435101,-0.5359501740219581,1.0121534946461903,-0.8298901139589051,1.3116521255081928,6.036877437579883,5.505635677271649,4.574514636075729,7.1530000226489054,3.652055656824072,9.18575016218007,3.1580567521090503,10.549828324324864,195,0.5685344686751397,1.3094028496610568,1.570533792645076,-0.5832639962586108,3.838939766663715,-2.632247671110627,5.956792380498798,-4.379700057121831,7.328917720953482,0,0.358,0.1315,0.38539918207799984,0.10829065313033018,TE,9.1,FALSE,FALSE
00-0035644,2025,9,3,0.898142418921149,2.694427256763447,0.24705485049054415,0.3215419106407158,-0.0854419278019663,0.7107274382012645,-0.4432931352557946,1.1048105334123537,-0.7372330751927416,1.404309164274356,4.899314456313731,4.368072696005497,3.436951654809577,6.015437041382754,2.5144926755579204,8.048187180913919,2.0204937708428985,9.41226534305871,195,0.5685344686751397,1.2103994005107506,1.4423018372973675,-0.4704203774076092,3.4568040904004573,-2.2900603699122843,5.337604489965967,-3.841919609012056,6.556147211835511,0,0.2445,0.073,0.2559977616538882,0.05041863593984295,TE,10.8,FALSE,FALSE
00-0036040,2025,9,4,0.9375183210213436,3.7500732840853743,0.15449899909242362,0.18383177303684992,-0.2231520654058322,0.5730173005973985,-0.5810032728596606,0.9671003958084878,-0.8749432127966076,1.2665990266704903,5.422903723726219,4.891661963417985,3.960540922222065,6.539026308795242,3.0380819429704085,8.571776448326407,2.5440830382553865,9.9358546104712,195,0.5685344686751397,0.8378331974902778,1.0845184870676932,-0.9501321183927934,3.227437201278333,-2.885766882294362,5.228131103563847,-4.536550940820507,6.524351050072782,0,0.302,0.0945,0.28694368274993054,0.06340960569753482,TE,12.1,TRUE,FALSE
00-0036628,2025,9,4,0.6132735514838714,2.4530942059354857,0.18726079039712792,0.3313962642493955,-0.0755875741932866,0.7205817918099442,-0.43343878164711497,1.1146648870210334,-0.7273787215840619,1.4141635178830358,3.802547966697432,3.271306206389198,2.3401851651932772,4.9186705517664535,1.4177261859416208,6.951420691297619,0.9237272812265988,8.315498853442412,195,0.5685344686751397,0.7120681377667527,0.9136723372632776,-0.7491512030932016,2.664978273278487,-2.331053787404201,4.300050608960951,-3.6801613861219846,5.359389757780983,0,0.133,0.0295,0.13168671902610118,0.01595054311346747,TE,4,FALSE,FALSE
00-0036894,2025,9,4,0.8443920593417715,3.377568237367086,0.2352525188356648,0.17661934793018436,-0.2303644905124978,0.565804875490733,-0.5882156979663261,0.9598879707018224,-0.8821556379032731,1.2593866015638246,5.0539921597157695,4.522750399407536,3.591629358211615,6.170114744784792,2.669170378959959,8.202864884315957,2.175171474244937,9.56694304646075,195,0.5685344686751397,1.1889643857488363,1.4259639870011682,-0.5287994405546628,3.484744555773999,-2.388434719174952,5.4068845337269025,-3.974403482430388,6.65221055614272,0,0.2615,0.0785,0.2708729006511192,0.056128707680220734,TE,11.7,FALSE,FALSE
00-0036970,2025,9,7,-0.4985044518252834,-3.4895311627769843,0.22196538566277535,0.2622773216298845,-0.14470651681279767,0.6514628491904331,-0.502557724266626,1.0455459444015225,-0.796497664203573,1.345044575263525,7.091069180379343,6.559827420071109,5.628706378875188,8.207191765448364,4.706247399623532,10.239941904979531,4.2122484949085095,11.604020067124322,195,0.5685344686751397,1.5739719053843213,1.8635757490360096,-0.5250654092551714,4.3793216102166745,-2.7974638505728686,6.728098244060297,-4.735452975125334,8.249835836804628,0,0.4775,0.2115,0.5203234485900634,0.1964632582978725,TE,7.800000000000001,FALSE,FALSE
