stratum,bin,n,pred,emp,delta,method,threshold,position
exante_high,"[0.7,0.8)",56,0.7334535982691376,0.5714285714285714,-0.1620250268405662,platt_vol,15+,RB_3C
exante_high,"[0.8,0.9)",2,0.8251544031151783,0.5,-0.3251544031151783,platt_vol,15+,RB_3C
exante_low,"[0,0.1)",1739,0.03028205865439908,0.039677975848188614,0.009395917193789533,raw,20+,RB_3C
exante_mid,"[0,0.1)",2430,0.06006234567901234,0.0831275720164609,0.023065226337448556,raw,20+,RB_3C
exante_mid,"[0.1,0.2)",599,0.12336560934891486,0.011686143572621035,-0.11167946577629383,raw,20+,RB_3C
exante_high,"[0,0.1)",477,0.08151572327044025,0.23270440251572327,0.151188679245283,raw,20+,RB_3C
exante_high,"[0.1,0.2)",2326,0.14997141014617368,0.17497850386930353,0.025007093723129842,raw,20+,RB_3C
exante_high,"[0.2,0.3)",1495,0.24367792642140468,0.22408026755852842,-0.01959765886287626,raw,20+,RB_3C
exante_high,"[0.3,0.4)",610,0.3391868852459016,0.3,-0.03918688524590164,raw,20+,RB_3C
exante_high,"[0.4,0.5)",179,0.4412290502793296,0.3854748603351955,-0.055754189944134114,raw,20+,RB_3C
exante_high,"[0.5,0.6)",40,0.541175,0.65,0.10882500000000006,raw,20+,RB_3C
exante_high,"[0.6,0.7)",4,0.620125,0.5,-0.12012500000000004,raw,20+,RB_3C
exante_low,"[0,0.1)",1668,0.06302371568084425,0.04136690647482014,-0.021656809206024107,platt,20+,RB_3C
exante_low,"[0.1,0.2)",71,0.10709054459066616,0,-0.10709054459066616,platt,20+,RB_3C
exante_mid,"[0,0.1)",1318,0.08118267729632102,0.11532625189681335,0.03414357460049233,platt,20+,RB_3C
exante_mid,"[0.1,0.2)",1711,0.12419577094859297,0.03331385154880187,-0.0908819193997911,platt,20+,RB_3C
exante_high,"[0,0.1)",39,0.0927333874190383,0.20512820512820512,0.11239481770916682,platt,20+,RB_3C
exante_high,"[0.1,0.2)",3143,0.1584320181831744,0.1880369074132994,0.029604889230124998,platt,20+,RB_3C
exante_high,"[0.2,0.3)",1774,0.23544822790673306,0.25422773393461107,0.018779506027878007,platt,20+,RB_3C
exante_high,"[0.3,0.4)",171,0.33141389346786226,0.47368421052631576,0.1422703170584535,platt,20+,RB_3C
exante_high,"[0.4,0.5)",4,0.4272678045679223,0.5,0.0727321954320777,platt,20+,RB_3C
exante_low,"[0,0.1)",1702,0.07938822028209268,0.04054054054054054,-0.038847679741552135,iso,20+,RB_3C
exante_low,"[0.1,0.2)",37,0.10528061618593174,0,-0.10528061618593174,iso,20+,RB_3C
exante_mid,"[0,0.1)",1683,0.08339073932146042,0.10279263220439691,0.01940189288293649,iso,20+,RB_3C
exante_mid,"[0.1,0.2)",1346,0.11222966995276691,0.02674591381872214,-0.08548375613404477,iso,20+,RB_3C
exante_high,"[0,0.1)",168,0.09018509222041177,0.24404761904761904,0.15386252682720727,iso,20+,RB_3C
exante_high,"[0.1,0.2)",3138,0.13248385634990986,0.18483110261312938,0.052347246263219516,iso,20+,RB_3C
