player_id,posteam,defteam,game_id,source,rolling_epa_per_opp,wt_target_share,wt_air_yards_share,wt_air_yards_per_target,prior_epa_per_opp,baseline_epa_per_opp,is_cold_start,draft_tier,baseline_target_share,baseline_air_yards_share,player_name,form_residual,wt_team_total_plays,baseline_team_total_plays,wt_snap_share,wt_tgt_per_snap,baseline_snap_share,baseline_tgt_per_snap,games_played_so_far,def_used_fallback,def_short_pass_epa_adj,def_deep_pass_epa_adj,season,week,team_spread,implied_total,report_status,practice_status
00-0037805,NYJ,DET,2026_03_NYJ_DET,played,-0.3561217135976295,0.043168168168168174,-0.018800601967932644,-2.2432432432432434,0.1567625867239007,0.1567625867239007,FALSE,r2_3,0.06621004566210045,0.036585365853658534,Jeremy Ruckert,-0.5128843003215302,72.86486486486487,63.294117647058826,0.3813513513513514,0.05908667287977633,0.4717647058823529,0.058704453441295545,2,TRUE,-0.3667121642955007,0.49563726152999843,2026,3,-6.5,20.5,NA,NA
00-0037809,WAS,SEA,2026_03_SEA_WAS,played,0.30936397639258456,0.08333333333333333,0.12302839116719243,13,0.16039372231281626,0.16039372231281626,FALSE,r4_5,0.12619808306709265,0.09118086696562033,Chig Okonkwo,0.1489702540797683,72.37837837837839,63.11764705882353,0.56,0.07692307692307693,0.6370588235294118,0.11861861861861862,2,TRUE,0.04569630143314794,0.8135519474098458,2026,3,-7.5,16.5,NA,Did Not Participate In Practice
00-0037838,NYG,TEN,2026_03_TEN_NYG,played,0.6129798908755097,0.2775526950100005,0.19610988090250767,6.270270270270271,0.14987278520690372,0.14987278520690372,FALSE,r4_5,0.11726384364820847,0.12846911369740377,Isaiah Likely,0.463107105668606,65.05405405405406,69.82352941176471,0.5981081081081081,0.24324324324324323,0.5592857142857143,0.07392197125256673,2,TRUE,0.14711011490561018,0.4008743706170254,2026,3,2.5,20.5,NA,NA
00-0038041,DAL,BAL,2026_03_BAL_DAL,played,0.8263330535032641,0.09254709254709255,0.07316611534341917,5.297297297297297,0.18505035840243697,0.18505035840243697,FALSE,r4_5,0.15653495440729484,0.09370684553166304,Jake Ferguson,0.6412826951008271,56.83783783783784,70.52941176470588,0.6735135135135136,0.08640458640458641,0.6670588235294117,0.13104325699745548,2,TRUE,-0.06999023057913388,0.5856442161653516,2026,3,-3.5,24.5,NA,NA
00-0038046,LAC,BUF,2026_03_LAC_BUF,played,0.4208160681494822,0.1,0.040892193308550186,3.6666666666666665,0.3436378828967766,0.3436378828967766,FALSE,r4_5,0.047021943573667714,0.04632867132867133,Charlie Kolar,0.07717818525270559,65.4864864864865,68.41176470588235,0.5878378378378379,0.03861003861003861,0.40352941176470586,0.03731343283582089,2,TRUE,-0.15518075002285975,0.123383397079179,2026,3,-7,21.75,NA,Did Not Participate In Practice
00-0038115,TEN,NYG,2026_03_TEN_NYG,played,-0.5055460516599656,0.0376974376974377,0.01786222312538102,2.6216216216216215,0.8691340654813058,0.8691340654813058,FALSE,r4_5,0.0611764705882353,0.07561202355128602,Daniel Bellinger,-1.3746801171412715,53.08108108108109,63.1764705882353,0.3718918918918919,0.055341055341055344,0.499375,0.04684684684684685,2,TRUE,0.03256509025021859,0.7073651821491399,2026,3,-2.5,18,NA,NA
00-0038129,TB,MIN,2026_03_MIN_TB,played,-0.13924233125136307,0.1594457633308985,0.16059359527293018,6.994594594594595,0.03756494610003398,0.03756494610003398,FALSE,r4_5,0.15413533834586465,0.10707896754408382,Cade Otton,-0.17680727735139706,63.7027027027027,68,0.9313513513513513,0.09694115297563574,0.9349999999999999,0.08257804632426989,2,TRUE,0.10369563803582907,-0.11646529936746194,2026,3,-1.5,20.5,NA,NA
00-0038488,SEA,WAS,2026_03_SEA_WAS,played,0.539879179908894,0.07692307692307693,0.03896103896103896,3,NA,0.023589487529063053,TRUE,udfa,0.057971014492753624,0.03275466754012447,Brady Russell,0.5162896923798309,64.1891891891892,63,0.3940540540540541,0.05405405405405406,0.054117647058823534,0.017241379310344827,2,TRUE,0.2808720400874686,1.1601327366360539,2026,3,7.5,24,NA,Limited Participation in Practice
00-0038547,DAL,BAL,2026_03_BAL_DAL,played,0.869711147621274,0.029411764705882353,0.038834951456310676,12,0.15826768047712825,0.15826768047712825,FALSE,r2_3,0.04107142857142857,0.03825643403663343,Luke Schoonmaker,0.7114434671441457,56.83783783783784,70.52941176470588,0.2578378378378378,0.03534303534303535,0.32941176470588235,0.058823529411764705,2,TRUE,-0.06999023057913388,0.5856442161653516,2026,3,-3.5,24.5,NA,NA
00-0038558,PIT,CIN,2026_03_CIN_PIT,played,0.12744598372405194,0.04594023198674362,0.016829926320812556,2.4594594594594597,0.332784269992278,0.332784269992278,FALSE,r2_3,0.10068649885583524,0.0982940698619009,Darnell Washington,-0.20533828626822606,69.16216216216218,61.1764705882353,0.5805405405405406,0.05058861501350503,0.5725,0.08058608058608059,2,TRUE,0.5203464573740542,0.2787257806231027,2026,3,-3.5,19.5,NA,NA
00-0038710,CLE,CAR,2026_03_CAR_CLE,played,1.1599304121604341,0.0508008008008008,0.04212106843685791,4.378378378378379,NA,0.023589487529063053,TRUE,udfa,0.057971014492753624,0.03275466754012447,Blake Whiteheart,1.1363409246313712,56.62162162162162,65.70588235294117,0.43324324324324326,0.06301301301301303,0.23705882352941177,0.024489795918367346,2,TRUE,0.25544672730213236,0.9060482817916382,2026,3,-2.5,20,NA,NA
00-0038783,DEN,LA,2026_03_LA_DEN,played,1.2378933661578533,0.0967741935483871,0.08955223880597014,8,-0.05711020196428184,-0.05711020196428184,FALSE,udfa,0.044534412955465584,0.01849894291754757,Nate Adkins,1.295003568122135,57.32432432432433,67.76470588235294,0.31486486486486487,0.07050528789659224,0.3277777777777778,0.05527638190954774,2,TRUE,0.03372179791271752,0.12613719814891333,2026,3,-2.5,21,NA,NA
00-0038933,BUF,LAC,2026_03_LAC_BUF,played,1.0707061265284294,0.21718877968877967,0.31077853032188907,13.18018018018018,0.7877680632536485,0.7877680632536485,FALSE,r1,0.13262599469496023,0.18379446640316205,Dalton Kincaid,0.282938063274781,64.56756756756756,66.3529411764706,0.6875675675675675,0.15388858246001105,0.3741666666666667,0.16556291390728478,2,TRUE,0.07334502415828838,0.6563712854268233,2026,3,7,28.75,NA,NA
00-0038935,JAX,NE,2026_03_NE_JAX,played,0.8965633341110194,0.09230601569311246,0.09497993423339603,9.801801801801803,0.5227458468589535,0.5227458468589535,FALSE,r2_3,0.14423076923076922,0.12144323848635964,Brenton Strange,0.37381748725206587,60.08108108108108,68.58823529411765,0.7610810810810812,0.0574059145487717,0.7483333333333333,0.10152284263959391,2,TRUE,0.13814724007925774,0.1300851160925578,2026,3,3,24.25,NA,NA
00-0038996,GB,ATL,2026_03_ATL_GB,played,0.09781424682571654,0.11060517038777909,0.10535695610322475,8.081081081081082,0.8891790188757692,0.8891790188757692,FALSE,r2_3,0.16793893129770993,0.10474205315268369,Tucker Kraft,-0.7913647720500527,66.05405405405406,62.294117647058826,0.832972972972973,0.08922025473749612,0.86,0.10022779043280182,2,TRUE,0.16578853359400703,-0.2155800075767186,2026,3,4.5,23.5,NA,NA
00-0039065,DET,NYJ,2026_03_NYJ_DET,played,0.6133598114148829,0.18198198198198198,0.052428767304267244,2.178088803088803,0.7434253533214469,0.7434253533214469,FALSE,r2_3,0.16666666666666666,0.15783475783475784,Sam LaPorta,-0.13006554190656394,73.05405405405406,65.52941176470588,0.9018918918918919,0.11840671316477767,0.9066666666666666,0.09477756286266925,2,TRUE,0.3466017950127847,0.5315719655880197,2026,3,6.5,27,NA,NA
00-0039066,LV,NO,2026_03_LV_NO,played,0.17578294728528776,0.1769543737285673,0.09130485124105937,4.270270270270271,-0.1968367652389679,-0.1968367652389679,FALSE,r2_3,0.117096018735363,0.09828009828009827,Michael Mayer,0.37261971252425563,64.75675675675676,59.411764705882355,0.8262162162162162,0.09927217097028417,0.6176923076923077,0.10752688172043011,2,TRUE,0.26012021547450404,0.23043645611348923,2026,3,-3,20.25,NA,NA
00-0039074,LA,DEN,2026_03_LA_DEN,played,1.2062695574556555,0.033301158301158304,0.0014643041833374158,0.6216216216216216,0.16381849976482266,0.16381849976482266,FALSE,r4_5,0.059782608695652176,0.02669952762374204,Davis Allen,1.0424510576908328,59.91891891891892,66.52941176470588,0.4372972972972973,0.038770913770913774,0.5029411764705882,0.05641025641025641,2,TRUE,-0.14397535305252407,0.6143901849860899,2026,3,2.5,23.5,NA,NA
00-0039359,HOU,IND,2026_03_HOU_IND,played,-0.9365780813386664,0.024390243902439025,-0.006211180124223602,-2,0.13853927824675338,0.13853927824675338,FALSE,r4_5,0.08247422680412371,0.02198581560283688,Cade Stover,-1.0751173595854198,82.08108108108108,68.70588235294117,0.1918918918918919,0.019144144144144146,0.44,0.060836501901140684,2,TRUE,0.06384728093306428,0.5227846069293389,2026,3,1.5,22,NA,NA
00-0039530,DAL,BAL,2026_03_BAL_DAL,played,0.2584315841086209,0.058823529411764705,0.019417475728155338,3,-0.049440174909810036,-0.049440174909810036,FALSE,udfa,0.03324808184143223,0.03495589676576282,Brevyn Spann-Ford,0.3078717590184309,56.83783783783784,70.52941176470588,0.3064864864864865,0.0706860706860707,0.2488235294117647,0.043333333333333335,2,TRUE,-0.06999023057913388,0.5856442161653516,2026,3,-3.5,24.5,NA,NA
00-0039686,WAS,SEA,2026_03_SEA_WAS,played,0.8355084690265357,0.02857142857142857,0.011142061281337047,4,NA,0.023589487529063053,TRUE,udfa,0.057971014492753624,0.03275466754012447,Colson Yankoff,0.8119189814974727,72.37837837837839,63.11764705882353,0.17594594594594595,0.02574002574002574,0.12642857142857145,0.027777777777777776,2,TRUE,0.04569630143314794,0.8135519474098458,2026,3,-7.5,16.5,NA,NA
00-0039793,SEA,WAS,2026_03_SEA_WAS,played,0.4880796536446133,0.055363055363055365,0.0160663839077936,4.094594594594595,0.41092692860602226,0.41092692860602226,FALSE,r4_5,0.13682092555331993,0.08166070937585923,AJ Barner,0.07715272503859105,64.1891891891892,63,0.8367567567567568,0.030537030537030538,0.7729411764705882,0.08222490931076179,2,TRUE,0.2808720400874686,1.1601327366360539,2026,3,7.5,24,NA,NA
00-0039814,CIN,PIT,2026_03_CIN_PIT,played,-0.3225777387851849,0.08333333333333333,-0.005780346820809248,-0.3333333333333333,NA,0.1800353329640066,TRUE,r4_5,0.08669165885660732,0.0679909093696707,Erick All,-0.5026130717491915,65.00000000000001,66.82352941176471,0.36945945945945946,0.06486486486486487,0.4388235294117647,0.06166825095057034,2,TRUE,0.08852760326613156,0.7776100585538641,2026,3,3.5,23,NA,NA
00-0039847,NYG,TEN,2026_03_TEN_NYG,played,-0.06732122876958259,0.07841427765526437,0.09093464761667527,8.351351351351353,0.11935636706490896,0.11935636706490896,FALSE,r4_5,0.14595660749506903,0.14908034849951599,Theo Johnson,-0.18667759583449156,65.05405405405406,69.82352941176471,0.3627027027027027,0.14949324324324326,0.8673333333333333,0.08486238532110092,2,TRUE,0.14711011490561018,0.4008743706170254,2026,3,2.5,20.5,NA,NA
00-0039912,WAS,SEA,2026_03_SEA_WAS,played,0.3274935632944107,0.02857142857142857,0.011142061281337047,4,0.24855047129900554,0.24855047129900554,FALSE,r2_3,0.05829596412556054,0.06777493606138107,Ben Sinnott,0.07894309199540517,72.37837837837839,63.11764705882353,0.48702702702702705,0.01126126126126126,0.360625,0.03812316715542522,2,TRUE,0.04569630143314794,0.8135519474098458,2026,3,-7.5,16.5,NA,NA
00-0040081,KC,MIA,2026_03_KC_MIA,played,0.7931939717673231,0.034482758620689655,0.03007518796992481,4,NA,0.023589487529063053,TRUE,udfa,0.057971014492753624,0.03275466754012447,Jake Briningstool,0.76960448423826,74.56756756756756,66.17647058823529,0.1521621621621622,0.03534303534303535,0.20504761904761903,0.034934764053164244,2,TRUE,0.02810430819696245,0.5343413395707767,2026,3,10.5,28,NA,NA
00-0040126,CHI,PHI,2026_03_PHI_CHI,played,-0.5049341357932405,0.07122258735161961,0.08038939073421832,9.234234234234235,0.5723626351378747,0.5723626351378747,FALSE,r1,0.14742451154529307,0.1587909748829289,Colston Loveland,-1.0772967709311152,76.45945945945947,69.3529411764706,0.8645945945945946,0.03947505197505198,0.645,0.11840228245363767,2,TRUE,-0.3174742871242143,-0.49411494729425587,2026,3,-4.5,18.5,NA,NA
00-0040128,IND,HOU,2026_03_HOU_IND,played,-0.05563400425551762,0.19167261102744973,0.009198252979347512,1.1096525096525096,0.13833657189872345,0.13833657189872345,FALSE,r1,0.1958762886597938,0.13744292237442923,Tyler Warren,-0.19397057615424107,63.108108108108105,63.76470588235294,0.9083783783783784,0.11118359739049395,0.8382352941176471,0.12680756395995552,2,TRUE,-0.17886179101185198,0.2197491772707292,2026,3,-1.5,20.5,NA,NA
00-0040187,CAR,CLE,2026_03_CAR_CLE,played,0.005960793901436231,0.03719772403982931,0.009560110951708655,1.5270270270270274,0.12766194026800803,0.12766194026800803,FALSE,r4_5,0.056818181818181816,0.03426204819277109,Mitchell Evans,-0.1217011463665718,68.91891891891892,63.11764705882353,0.49729729729729727,0.048258785100890364,0.37411764705882355,0.06361323155216285,2,TRUE,-0.14893884614509215,0.45827019919978584,2026,3,2.5,22.5,NA,NA
00-0040189,LAC,BUF,2026_03_LAC_BUF,played,0.6231012321651498,0.06666666666666667,0.047951010776289583,6.472972972972973,0.23934862788548816,0.23934862788548816,FALSE,r4_5,0.12255772646536411,0.15757575757575756,Oronde Gadsden II,0.3837526042796616,65.4864864864865,68.41176470588235,0.32054054054054054,0.12792792792792795,0.626,0.11004784688995216,2,TRUE,-0.15518075002285975,0.123383397079179,2026,3,-7,21.75,NA,NA
00-0040584,TEN,NYG,2026_03_TEN_NYG,played,-0.08554837413673365,0.11477711477711479,0.03724852672221094,1.291891891891892,0.06971779683177601,0.06971779683177601,FALSE,r4_5,0.0929054054054054,0.0779521481862619,Gunnar Helm,-0.15526617096850964,53.08108108108109,63.1764705882353,0.8194594594594594,0.08395695466633682,0.525625,0.10318949343339587,2,TRUE,0.03256509025021859,0.7073651821491399,2026,3,-2.5,18,NA,NA
00-0040663,CLE,CAR,2026_03_CAR_CLE,played,0.1652218305373665,0.1524024024024024,0.1402718507981666,3.6936936936936937,0.012964357079805363,0.012964357079805363,FALSE,r2_3,0.18524871355060035,0.17999442741710783,Harold Fannin Jr.,0.15225747345756113,56.62162162162162,65.70588235294117,0.8416216216216216,0.09768339768339769,0.759375,0.13740458015267176,2,TRUE,0.25544672730213236,0.9060482817916382,2026,3,-2.5,20,NA,NA
00-0040736,NYJ,DET,2026_03_NYJ_DET,played,-0.7941356088849716,0.125,0.005952380952380952,0.3333333333333333,0.14690985956699545,0.14690985956699545,FALSE,r2_3,0.15676959619952494,0.13368983957219252,Mason Taylor,-0.941045468451967,72.86486486486487,63.294117647058826,0.551891891891892,0.03132678132678133,0.8107692307692308,0.10091743119266056,2,TRUE,-0.3667121642955007,0.49563726152999843,2026,3,-6.5,20.5,NA,Did Not Participate In Practice
00-0040737,LA,DEN,2026_03_LA_DEN,played,-1.168397089753121,0.16843629343629343,0.13142810484200212,14.270270270270272,0.29547250836119315,0.29547250836119315,FALSE,r2_3,0.06596306068601583,0.12608225108225107,Terrance Ferguson,-1.4638695981143142,59.91891891891892,66.52941176470588,0.5478378378378378,0.14995640802092416,0.36714285714285716,0.0702247191011236,2,TRUE,-0.14397535305252407,0.6143901849860899,2026,3,2.5,23.5,NA,Limited Participation in Practice
00-0040739,SEA,WAS,2026_03_SEA_WAS,played,1.3631682861596346,0.037037037037037035,0.06167400881057269,14,-0.6245733188091341,-0.6245733188091341,FALSE,r2_3,0.06933333333333333,0.07201309328968904,Elijah Arroyo,1.9877416049687686,64.1891891891892,63,0.2145945945945946,0.036036036036036036,0.3953846153846154,0.08227848101265822,2,TRUE,0.2808720400874686,1.1601327366360539,2026,3,7.5,24,NA,NA
00-0040879,BAL,DAL,2026_03_BAL_DAL,played,0.853725885564927,0.037037037037037035,0.0037174721189591076,1,NA,0.1800353329640066,TRUE,r4_5,0.08669165885660732,0.0679909093696707,Matthew Hibner,0.6736905526009205,62.13513513513514,60.588235294117645,0.3345945945945947,0.019976498237367805,0.4388235294117647,0.06166825095057034,2,TRUE,0.38692707472476573,0.17905689785169993,2026,3,3.5,28,NA,NA
00-0041032,NYJ,DET,2026_03_NYJ_DET,played,-0.01472855596866056,0.09346846846846847,0.017228383762248306,1.4414414414414414,NA,0.20658783492159372,TRUE,r1,0.13414634146341464,0.13744292237442923,Kenyon Sadiq,-0.2213163908902543,72.86486486486487,63.294117647058826,0.38756756756756755,0.10928785928785928,0.6420833333333333,0.12111581344326004,2,TRUE,-0.3667121642955007,0.49563726152999843,2026,3,-6.5,20.5,NA,NA
00-0041041,NO,LV,2026_03_LV_NO,played,0.6397642833180726,0.02702702702702703,0.03286384976525822,7,NA,0.3270699854662281,TRUE,r2_3,0.09727626459143969,0.09828009828009827,Oscar Delp,0.31269429785184444,79.1891891891892,67.47058823529412,0.13,0.1111111111111111,0.5314705882352941,0.07857787949671563,2,TRUE,0.09890485236478508,0.6581647728306138,2026,3,3,23.25,NA,NA
00-0041395,NE,JAX,2026_03_NE_JAX,played,1.5605100621382793,0.03438438438438439,0.07310450167593026,14.432432432432433,NA,0.3270699854662281,TRUE,r2_3,0.09727626459143969,0.09828009828009827,Eli Raridon,1.2334400766720512,63.72972972972973,64.3529411764706,0.35621621621621624,0.061231087546877026,0.5314705882352941,0.07857787949671563,2,TRUE,-0.07061539514170595,0.23067895045452042,2026,3,-3,21.25,NA,Limited Participation in Practice
