player_id,season,week,p_start_new,p_boom_new,p_start_raw,p_boom_raw,hit_start,hit_boom,bucket
00-0037228,2023,18,0.19367337481123392,0.06520050517896012,0.199,0.0685,FALSE,FALSE,b2
00-0037248,2023,18,0.38689021837654947,0.20220421292930957,0.3935,0.1785,FALSE,FALSE,b2
00-0037256,2023,18,0.5395649399264582,0.27867381037632727,0.4205,0.2055,FALSE,FALSE,b1
00-0037263,2023,18,0.10352446704530952,0.04669835183467839,0.1645,0.058,FALSE,FALSE,b3
00-0037267,2023,18,0.22822993848903117,0.09269537081842633,0.234,0.092,FALSE,FALSE,b2
00-0037276,2023,18,0.22871060134074034,0.14011011562506234,0.3345,0.1445,FALSE,FALSE,b3
00-0037525,2023,18,0.10624734761327966,0.04718397767731168,0.1685,0.0585,FALSE,FALSE,b3
00-0037557,2023,18,0.08905994451415367,0.030750167187350786,0.143,0.041,FALSE,FALSE,b3
00-0037746,2023,18,0.25297547943640636,0.09871754694362736,0.259,0.097,FALSE,FALSE,b2
00-0038040,2023,18,0.28561915524007236,0.19960550110052258,0.4035,0.1945,FALSE,FALSE,b3
00-0038098,2023,18,0.04515810627194425,0.011438825789868136,0.075,0.018,FALSE,FALSE,b3
00-0038120,2023,18,0.44859231188787657,0.17249177492551382,0.3355,0.1335,TRUE,TRUE,b1
00-0038134,2023,18,0.35641588215329917,0.18132604065054608,0.363,0.1625,FALSE,FALSE,b2
00-0038542,2023,18,0.4696025361760159,0.22044910542756155,0.3545,0.166,TRUE,TRUE,b1
00-0038551,2023,18,0.07979419897468822,0.019856691822406607,0.129,0.0285,FALSE,FALSE,b3
00-0038597,2023,18,0.08972637189009658,0.029401237108322254,0.144,0.0395,FALSE,FALSE,b3
00-0039021,2023,18,0.11137994711348351,0.040940465604812425,0.176,0.052,FALSE,FALSE,b3
00-0039032,2023,18,0.11931939790841865,0.04332365725042254,0.1875,0.0545,TRUE,TRUE,b3
00-0039040,2023,18,0.3753525340904969,0.13383483927287398,0.272,0.107,FALSE,FALSE,b1
00-0039139,2023,18,0.47941549592387656,0.23744434076330428,0.3635,0.1775,FALSE,FALSE,b1
00-0039165,2023,18,0.155205368058336,0.07036970596210068,0.238,0.0815,FALSE,FALSE,b3
00-0031687,2024,1,0.4572602096201081,0.22997530045230666,0.352,0.1395,FALSE,FALSE,b1
00-0032764,2024,1,0.3114526026735163,0.16458151921849778,0.3175,0.143,FALSE,FALSE,b2
00-0033045,2024,1,0.15247559238452113,0.0832925236630291,0.2555,0.095,FALSE,FALSE,b3
00-0033293,2024,1,0.1506035350682153,0.0847273413297977,0.253,0.0965,TRUE,FALSE,b3
00-0033553,2024,1,0.5296732680098356,0.31439456913522384,0.414,0.1945,TRUE,FALSE,b1
00-0033699,2024,1,0.28910742207263623,0.13503856885869295,0.297,0.1185,FALSE,FALSE,b2
00-0033897,2024,1,0.5865897033448854,0.35933511230570003,0.4655,0.2255,TRUE,TRUE,b1
00-0033906,2024,1,0.47634716409359995,0.2659941977057549,0.368,0.1625,TRUE,TRUE,b1
00-0033948,2024,1,0.049235798414812765,0.025531743431620388,0.1,0.032,FALSE,FALSE,b3
00-0034115,2024,1,0.09169458893238223,0.03784366725132096,0.169,0.046,FALSE,FALSE,b3
00-0034184,2024,1,0.13190035064105515,0.07473037972091387,0.2275,0.086,FALSE,FALSE,b3
00-0034844,2024,1,0.597828584082761,0.4009980992950285,0.476,0.2555,TRUE,TRUE,b1
00-0034972,2024,1,0.14318392219057255,0.07615167827734695,0.243,0.0875,TRUE,FALSE,b3
00-0034975,2024,1,0.07724436722451376,0.03695156755301861,0.1465,0.045,FALSE,FALSE,b3
00-0035243,2024,1,0.07224506792573389,0.034286193522084236,0.1385,0.042,FALSE,FALSE,b3
00-0035250,2024,1,0.17861834293256176,0.11285806780518731,0.2895,0.1255,FALSE,FALSE,b3
00-0035261,2024,1,0.31910870559661725,0.16941201663869146,0.3245,0.147,TRUE,FALSE,b2
00-0035685,2024,1,0.30981363364730796,0.1525117081936635,0.316,0.133,TRUE,FALSE,b2
00-0035700,2024,1,0.44822604995928783,0.2459906802078707,0.4415,0.2105,FALSE,FALSE,b2
00-0036139,2024,1,0.08649134966545921,0.041879537516618395,0.161,0.0505,FALSE,FALSE,b3
00-0036158,2024,1,0.15927186102631422,0.08281473305793666,0.2645,0.0945,TRUE,TRUE,b3
00-0036223,2024,1,0.4457984317573385,0.23473011530372442,0.3425,0.1425,FALSE,FALSE,b1
00-0036251,2024,1,0.18535339146332103,0.11040587118765499,0.298,0.123,FALSE,FALSE,b3
00-0036275,2024,1,0.35975459127860443,0.20081504963095892,0.3615,0.173,FALSE,FALSE,b2
00-0036328,2024,1,0.05474808781920557,0.021240670319936122,0.1095,0.027,FALSE,FALSE,b3
00-0036555,2024,1,0.16117551934056126,0.0919330632511615,0.267,0.104,FALSE,FALSE,b3
00-0036875,2024,1,0.15624030547291126,0.09145108164800642,0.2605,0.1035,TRUE,TRUE,b3
00-0036893,2024,1,0.1949980795689797,0.1222186937555081,0.31,0.135,FALSE,FALSE,b3
00-0036973,2024,1,0.47100668738736406,0.2759889956952862,0.3635,0.169,FALSE,FALSE,b1
00-0036997,2024,1,0.14873834110374134,0.08904455812105325,0.2505,0.101,FALSE,FALSE,b3
00-0037197,2024,1,0.43105809521899546,0.24058311157951973,0.426,0.206,TRUE,FALSE,b2
00-0037248,2024,1,0.4133412973837845,0.23396791084167687,0.41,0.2005,FALSE,FALSE,b2
00-0037256,2024,1,0.5521292928754841,0.3671074598838633,0.434,0.231,TRUE,FALSE,b1
00-0037267,2024,1,0.1730917604581422,0.06720448575167828,0.188,0.0615,TRUE,FALSE,b2
00-0037276,2024,1,0.10535369215377907,0.059260824323176683,0.1895,0.0695,FALSE,FALSE,b3
00-0037525,2024,1,0.08810964963670857,0.041879537516618395,0.1635,0.0505,TRUE,TRUE,b3
00-0037746,2024,1,0.24644126312935022,0.11762056677659086,0.2575,0.104,TRUE,FALSE,b2
00-0037840,2024,1,0.4969073705094259,0.30173620719892497,0.3855,0.186,FALSE,FALSE,b1
00-0038040,2024,1,0.08104181391096346,0.03829038138323521,0.1525,0.0465,FALSE,FALSE,b3
00-0038098,2024,1,0.058583076205738216,0.025099821286462348,0.116,0.0315,FALSE,FALSE,b3
00-0038120,2024,1,0.4213598331079643,0.23235479674644646,0.3225,0.141,TRUE,FALSE,b1
00-0038134,2024,1,0.30490031062498246,0.14949626823522563,0.3115,0.1305,TRUE,FALSE,b2
00-0038542,2024,1,0.31199905574691816,0.14949626823522563,0.318,0.1305,TRUE,FALSE,b2
00-0038555,2024,1,0.06488473229727375,0.025531743431620388,0.1265,0.032,FALSE,FALSE,b3
00-0038597,2024,1,0.08072379748744697,0.04549489104314819,0.152,0.0545,FALSE,FALSE,b3
00-0038794,2024,1,0.07442322898477399,0.04053044129234217,0.142,0.049,FALSE,FALSE,b3
00-0038797,2024,1,0.07286596167462994,0.033401493514289074,0.1395,0.041,FALSE,FALSE,b3
00-0039032,2024,1,0.09169458893238223,0.054177449864520826,0.169,0.064,FALSE,FALSE,b3
00-0039040,2024,1,0.2607276895827656,0.10888910292059509,0.198,0.066,TRUE,TRUE,b1
00-0039139,2024,1,0.4064996153436741,0.2172148792460527,0.3105,0.1315,TRUE,FALSE,b1
00-0039165,2024,1,0.11842851043950865,0.059260824323176683,0.2085,0.0695,FALSE,FALSE,b3
00-0039361,2024,1,0.09333529547518343,0.042330058784909884,0.1715,0.051,FALSE,FALSE,b3
00-0039384,2024,1,0.08649134966545921,0.03561680023662017,0.161,0.0435,FALSE,FALSE,b3
00-0029892,2024,2,0.08223657444990173,0.032684646564179805,0.1355,0.0355,FALSE,FALSE,b3
00-0032764,2024,2,0.4921446926391872,0.23348382528946957,0.4475,0.233,TRUE,FALSE,b2
00-0033045,2024,2,0.2167816759123079,0.14656162980351556,0.3325,0.1485,FALSE,FALSE,b3
00-0033293,2024,2,0.20603832689347507,0.13675426289659734,0.318,0.139,FALSE,FALSE,b3
00-0033553,2024,2,0.6300765516758162,0.41918362972642376,0.486,0.2625,TRUE,FALSE,b1
00-0033699,2024,2,0.1938450649860435,0.048938472174279435,0.1625,0.0525,FALSE,FALSE,b2
00-0033897,2024,2,0.7039283896861714,0.4732081326929185,0.571,0.305,FALSE,FALSE,b1
00-0033906,2024,2,0.4329950155607691,0.19700676357046099,0.2935,0.1125,TRUE,TRUE,b1
00-0033925,2024,2,0.061738677916582205,0.027398516522033407,0.1025,0.03,FALSE,FALSE,b3
00-0033948,2024,2,0.09108073499413534,0.04190849242727891,0.1495,0.045,FALSE,FALSE,b3
00-0034184,2024,2,0.17716315241514224,0.10751789112017002,0.278,0.1105,FALSE,FALSE,b3
00-0034844,2024,2,0.7097163168170979,0.5015623432570708,0.578,0.3285,TRUE,FALSE,b1
00-0034975,2024,2,0.08917773133104348,0.045332462028823406,0.1465,0.0485,FALSE,FALSE,b3
00-0035243,2024,2,0.10162603068442976,0.047785746985672214,0.166,0.051,FALSE,FALSE,b3
00-0035250,2024,2,0.30028500338949826,0.21688215647563627,0.4385,0.216,FALSE,FALSE,b3
00-0035261,2024,2,0.42524856024563085,0.16581608146144533,0.3805,0.168,TRUE,FALSE,b2
00-0035628,2024,2,0.04831935473306128,0.017447797065130024,0.0805,0.0195,FALSE,FALSE,b3
00-0035685,2024,2,0.4931305293937162,0.21675671771828933,0.4485,0.217,TRUE,FALSE,b2
00-0035700,2024,2,0.6217556476377795,0.34017902036653486,0.582,0.3345,FALSE,FALSE,b2
00-0036139,2024,2,0.126115714811901,0.07411388244950191,0.2035,0.0775,FALSE,FALSE,b3
00-0036158,2024,2,0.34717857300732363,0.12672422710826292,0.3045,0.13,TRUE,TRUE,b2
00-0036223,2024,2,0.609335779301474,0.39247722073428726,0.4635,0.2425,TRUE,FALSE,b1
00-0036251,2024,2,0.44439289426538026,0.19642666798500416,0.3995,0.1975,FALSE,FALSE,b2
00-0036275,2024,2,0.26809179400394195,0.1891627202983898,0.399,0.1895,FALSE,FALSE,b3
00-0036328,2024,2,0.06296785084377404,0.024058961879711287,0.1045,0.0265,FALSE,FALSE,b3
00-0036414,2024,2,0.09521887631982864,0.05123034957168371,0.156,0.0545,FALSE,FALSE,b3
00-0036555,2024,2,0.14185798389048038,0.0706070214587938,0.227,0.074,FALSE,FALSE,b3
00-0036875,2024,2,0.4524115915282689,0.19278510157457895,0.4075,0.194,TRUE,FALSE,b2
00-0036893,2024,2,0.3052954569299819,0.2221247977234951,0.4445,0.221,FALSE,FALSE,b3
00-0036973,2024,2,0.5107164710506782,0.2652406660877474,0.364,0.155,FALSE,FALSE,b1
00-0036997,2024,2,0.11655719345458444,0.06760760690893751,0.189,0.071,FALSE,FALSE,b3
00-0037197,2024,2,0.6691555249786697,0.4545532263997073,0.53,0.29,TRUE,FALSE,b1
00-0037228,2024,2,0.04227651696564929,0.01604490855890324,0.0705,0.018,FALSE,FALSE,b3
00-0037248,2024,2,0.47235206751846953,0.2151905495859368,0.4275,0.2155,TRUE,TRUE,b2
00-0037256,2024,2,0.556291077423117,0.32483640259894897,0.4085,0.1945,FALSE,FALSE,b1
00-0037263,2024,2,0.0513535055819978,0.02121360612809749,0.0855,0.0235,FALSE,FALSE,b3
00-0037267,2024,2,0.4931305293937162,0.21936779492030153,0.4485,0.2195,FALSE,FALSE,b2
00-0037276,2024,2,0.08696299993723942,0.04337434389897374,0.143,0.0465,FALSE,FALSE,b3
00-0037525,2024,2,0.39161628002862936,0.31057930432821257,0.542,0.305,TRUE,FALSE,b3
00-0037746,2024,2,0.5093457212800999,0.23714770507701788,0.465,0.2365,FALSE,FALSE,b2
00-0037840,2024,2,0.8152263307850705,0.6600518715790703,0.715,0.4785,TRUE,FALSE,b1
00-0038040,2024,2,0.1785812748345835,0.11620536440498884,0.28,0.119,FALSE,FALSE,b3
00-0038120,2024,2,0.5994720186135191,0.37049604884427173,0.453,0.2265,TRUE,TRUE,b1
00-0038542,2024,2,0.5675310269842548,0.29436832151121445,0.525,0.291,TRUE,FALSE,b2
