fold,pt_num_leaves,pt_lr,pt_min_node,pt_rounds,pt_inner_rmse,vl_num_leaves,vl_lr,vl_min_node,vl_rounds,vl_inner_rmse
173,15,0.05,20,112,6.8053,15,0.02,50,298,5.2244
174,15,0.05,20,120,6.7909,7,0.02,50,403,5.2379
175,15,0.02,20,314,6.7644,15,0.02,10,375,5.2299
176,15,0.02,50,254,6.784,15,0.02,10,375,5.2358
177,31,0.02,20,193,6.7362,7,0.02,50,459,5.2243
178,15,0.05,100,119,6.6974,7,0.02,20,424,5.238
179,15,0.02,50,304,6.6756,7,0.02,20,484,5.1929
180,7,0.02,50,312,6.6809,7,0.02,20,485,5.1866
181,7,0.02,50,312,6.722,7,0.02,20,485,5.1901
182,7,0.02,100,289,6.6768,15,0.05,10,137,5.1986
183,7,0.02,50,460,6.6996,31,0.05,10,123,5.2101
184,15,0.05,50,134,6.6841,15,0.02,20,371,5.2147
185,7,0.02,50,491,6.6979,7,0.02,50,445,5.1916
186,7,0.02,50,491,6.6822,7,0.02,50,445,5.2092
187,15,0.02,50,253,6.6981,7,0.05,50,278,5.2581
188,7,0.05,100,163,6.6827,15,0.02,50,270,5.2643
189,15,0.02,100,288,6.7025,15,0.05,10,152,5.2478
190,15,0.05,50,132,6.7259,7,0.05,20,224,5.2383
191,15,0.05,50,141,6.7481,31,0.02,10,258,5.2291
192,15,0.05,100,89,6.739,15,0.02,10,276,5.1953
193,15,0.02,100,262,6.7129,15,0.05,20,99,5.2139
194,7,0.05,20,220,6.6813,7,0.02,50,410,5.2022
195,15,0.05,20,108,6.7109,7,0.05,20,187,5.1911
196,15,0.05,20,109,6.6957,7,0.05,20,187,5.1922
197,7,0.02,50,395,6.7548,7,0.02,10,500,5.1971
198,7,0.05,50,211,6.7648,7,0.05,20,215,5.2074
199,7,0.02,100,419,6.8419,7,0.05,10,247,5.2118
200,15,0.05,50,109,6.831,7,0.05,20,239,5.2026
201,15,0.05,50,103,6.8334,7,0.05,20,239,5.2004
202,15,0.05,50,104,6.8384,7,0.05,10,215,5.1904
203,31,0.05,50,84,6.877,15,0.05,10,117,5.1822
204,31,0.02,20,195,6.932,7,0.02,10,405,5.2177
