fold,pass_eff_leaves,pass_eff_lr,pass_eff_min_node,pass_eff_rounds,pass_eff_inner_rmse,db_vol_leaves,db_vol_lr,db_vol_min_node,db_vol_rounds,db_vol_inner_rmse,carry_vol_leaves,carry_vol_lr,carry_vol_min_node,carry_vol_rounds,carry_vol_inner_rmse,rush_dir_leaves,rush_dir_lr,rush_dir_min_node,rush_dir_rounds,rush_dir_inner_rmse
41,15,0.02,100,145,0.2647,15,0.05,10,30,8.4086,31,0.05,20,32,1.7969,15,0.02,100,45,1.9637
42,63,0.05,20,26,0.2585,7,0.02,50,100,8.382,15,0.05,20,126,1.8262,7,0.05,10,23,2.1555
43,31,0.05,50,45,0.2677,7,0.02,50,96,8.4997,15,0.02,100,170,1.789,7,0.02,100,148,2.2026
44,7,0.02,10,96,0.2808,7,0.05,20,26,8.6865,7,0.05,10,38,1.7732,7,0.05,10,16,2.2193
45,15,0.02,100,178,0.285,7,0.05,100,36,8.5755,15,0.02,10,134,1.7354,15,0.05,100,27,2.1647
46,15,0.05,100,60,0.2836,7,0.05,100,34,8.7721,7,0.02,20,154,1.7448,7,0.05,50,25,2.1561
47,31,0.05,50,26,0.2877,7,0.05,10,40,8.5512,7,0.02,20,117,1.6906,15,0.05,100,16,2.0958
48,7,0.05,100,70,0.3099,7,0.02,100,123,8.2882,7,0.02,10,130,1.6486,15,0.05,100,10,2.1003
49,15,0.05,10,33,0.3097,7,0.05,20,37,8.3828,7,0.02,50,118,1.6863,15,0.05,100,12,2.0019
50,31,0.02,10,94,0.316,7,0.05,10,49,8.3863,7,0.05,10,43,1.6603,15,0.02,100,40,2.0153
51,31,0.02,10,94,0.3117,7,0.05,10,49,8.3823,7,0.05,20,51,1.6873,15,0.02,100,42,2.0923
52,7,0.05,10,41,0.3185,7,0.05,50,48,8.7238,7,0.05,20,44,1.7065,7,0.05,100,16,2.1454
53,15,0.05,10,19,0.3196,7,0.02,10,118,8.7581,7,0.02,20,117,1.681,15,0.05,20,10,1.9617
54,7,0.05,20,30,0.3197,63,0.05,20,20,8.8476,7,0.05,50,85,1.6942,31,0.05,20,10,2.1302
55,7,0.02,10,105,0.3138,7,0.05,20,60,8.7826,7,0.05,20,104,1.7006,7,0.02,10,10,2.1982
56,7,0.02,10,105,0.3186,15,0.05,50,28,8.962,7,0.05,20,104,1.714,15,0.05,20,10,2.2611
57,7,0.05,10,31,0.3191,7,0.05,10,20,9.0383,7,0.02,50,150,1.7099,7,0.05,10,10,2.3204
58,7,0.02,10,132,0.3265,31,0.05,20,19,8.7229,7,0.05,50,67,1.6839,63,0.05,10,10,2.3509
