player_id,posteam,defteam,game_id,source,rolling_epa_per_opp,wt_carry_share,wt_target_share,prior_epa_per_opp,baseline_epa_per_opp,is_cold_start,draft_tier,baseline_carry_share,baseline_target_share,player_name,form_residual,wt_team_total_plays,baseline_team_total_plays,wt_snap_share,baseline_snap_share,games_played_so_far,def_used_fallback,def_rush_epa_adj,def_short_pass_epa_adj,def_deep_pass_epa_adj,season,week,team_spread,implied_total,report_status,practice_status,own_q_int,own_practice_int,weeks_missed,return_from_absence,above_new_out_share,above_q_share,above_long_out_share
00-0029892,SF,LA,2026_01_SF_LA,roster_cold,NA,NA,NA,0.13084045430684152,0.13084045430684152,FALSE,r4_5,0.005747126436781609,0.13930348258706468,Kyle Juszczyk,NA,NA,66.05882352941177,NA,0.45529411764705885,0,TRUE,-0.1583267958602536,-0.509405819111881,-0.8048710511082422,2026,1,-3.5,22.5,NA,NA,0,3,0,0,0,0,0
00-0031595,CLE,JAX,2026_01_CLE_JAX,roster_cold,NA,NA,NA,NA,-0.06448674100855273,TRUE,r4_5,0.2900036954915004,0.1888479159682646,Michael Burton,NA,NA,65.70588235294117,NA,0.24425000000000002,0,TRUE,-0.05649418973326667,-0.32538184988568425,-0.6233014214318366,2026,1,-7.5,16.5,NA,NA,0,3,0,0,0,0,0
00-0032104,JAX,CLE,2026_01_CLE_JAX,roster_cold,NA,NA,NA,0.05683002928121676,0.05683002928121676,FALSE,r2_3,0.05384615384615385,0.18085106382978725,Ameer Abdullah,NA,NA,68.58823529411765,NA,0.10538461538461538,0,TRUE,-0.1555554809484036,-0.689686227673249,-0.5414217518363517,2026,1,7.5,24,NA,NA,0,3,0,0,0,0,0
00-0032764,BAL,IND,2026_01_BAL_IND,roster_cold,NA,NA,NA,0.01917811421252017,0.01917811421252017,FALSE,r2_3,0.7831632653061225,0.15789473684210525,Derrick Henry,NA,NA,60.588235294117645,NA,0.5452941176470588,0,TRUE,-0.07183208730881922,-0.6446751674816371,-0.07808644383862179,2026,1,3.5,26,NA,NA,0,3,0,0,0,0,0
00-0033280,SF,LA,2026_01_SF_LA,roster_cold,NA,NA,NA,0.04086500117752923,0.04086500117752923,FALSE,r1,0.7679012345679013,0.583710407239819,Christian McCaffrey,NA,NA,66.05882352941177,NA,0.8311764705882353,0,TRUE,-0.1583267958602536,-0.509405819111881,-0.8048710511082422,2026,1,-3.5,22.5,NA,NA,0,3,0,0,0,0,0
00-0033293,MIN,GB,2026_01_GB_MIN,roster_cold,NA,NA,NA,-0.05737255261740521,-0.05737255261740521,FALSE,r4_5,0.559322033898305,0.38317757009345793,Aaron Jones,NA,NA,60.05882352941177,NA,0.5508333333333333,0,TRUE,-0.12713808979524208,-0.3474287818667443,-0.0029681306049001866,2026,1,1.5,24,NA,NA,0,3,0,0,0,0,0
00-0033376,NYG,DAL,2026_01_DAL_NYG,roster_cold,NA,NA,NA,NA,-0.053057520304063764,TRUE,udfa,0.18985042735042734,0.10986562457150692,Patrick Ricard,NA,NA,69.82352941176471,NA,0.40636363636363637,0,TRUE,-0.008981486729110802,-0.25141823569562227,-0.11291317233012993,2026,1,-2.5,23,NA,NA,0,3,0,0,0,0,0
00-0033526,CIN,TB,2026_01_TB_CIN,roster_cold,NA,NA,NA,-0.027067598818537302,-0.027067598818537302,FALSE,r4_5,0.30434782608695654,0.13725490196078433,Samaje Perine,NA,NA,66.82352941176471,NA,0.3506666666666667,0,TRUE,-0.11962112038834419,-0.25646452324222097,0.2835101001922579,2026,1,3.5,27,NA,NA,0,3,0,0,0,0,0
00-0033906,NO,DET,2026_01_NO_DET,roster_cold,NA,NA,NA,-0.23792178194542796,-0.23792178194542796,FALSE,r2_3,0.6717948717948717,0.38235294117647056,Alvin Kamara,NA,NA,67.47058823529412,NA,0.6372727272727273,0,TRUE,-0.09684312853612323,-0.7169204971472922,-0.5235288125372282,2026,1,-7,21.25,NA,NA,0,3,0,0,0,0,0
00-0034844,PHI,WAS,2026_01_WAS_PHI,roster_cold,NA,NA,NA,-0.08755386253357089,-0.08755386253357089,FALSE,r1,0.8074712643678161,0.4112903225806452,Saquon Barkley,NA,NA,63.411764705882355,NA,0.783125,0,TRUE,-0.028544671384256523,-0.2285744936723992,-0.3182737048534685,2026,1,5.5,25,NA,NA,0,3,0,0,0,0,0
