position,player_name,posteam,model_rank,ecr_rank,rank_gap,start_pct
TE,Tucker Kraft,GB,23,8,-15,26
TE,Elijah Arroyo,SEA,60,45,-15,19
TE,Eli Raridon,NE,62,47,-15,19
TE,Bauer Sharp,TB,74,89,15,18
TE,Jackson Hawes,BUF,82,67,-15,17
WR,Nico Collins,HOU,23,8,-15,34
WR,KaVontae Turpin,DAL,79,94,15,16
QB,Jayden Daniels,WAS,21,7,-14,33
QB,Sam Darnold,SEA,36,22,-14,29
RB,Malik Davis,DAL,65,79,14,13
TE,Harold Fannin Jr.,CLE,20,6,-14,29
TE,Luke Schoonmaker,DAL,50,64,14,20
TE,Eric Saubert,SEA,68,82,14,18
WR,DK Metcalf,PIT,17,31,14,37
QB,Tyler Shough,NO,33,20,-13,29
QB,Jordan Love,GB,34,21,-13,29
QB,Tua Tagovailoa,ATL,44,31,-13,27
RB,Tyrone Tracy Jr.,NYG,31,44,13,19
RB,Kaleb Johnson,GB,76,89,13,12
RB,Raheim Sanders,CLE,78,91,13,12
TE,Kylen Granson,TEN,111,98,-13,15
WR,Michael Pittman,PIT,26,39,13,32
WR,Tre Harris,LAC,83,70,-13,16
WR,Roman Wilson,PIT,116,129,13,14
QB,Mac Jones,SF,26,38,12,31
QB,Kenny Pickett,CAR,71,59,-12,17
QB,Brady Cook,MIA,77,89,12,15
RB,Seth McGowan,IND,92,80,-12,11
TE,Josh Whyle,GB,78,90,12,18
TE,Brevin Jordan,HOU,90,102,12,17
WR,Malik Nabers,NYG,14,26,12,41
WR,Rome Odunze,CHI,16,28,12,39
WR,Kevin Coleman Jr.,MIA,165,153,-12,12
QB,Marcus Mariota,WAS,55,44,-11,22
RB,Kyren Williams,LA,3,14,11,56
RB,Rachaad White,WAS,46,35,-11,15
RB,Tyjae Spears,TEN,53,42,-11,14
TE,Ja'Tavion Sanders,CAR,77,88,11,18
TE,Andrew Beck,NYJ,123,134,11,14
WR,Jameson Williams,DET,35,24,-11,29
WR,Tre Tucker,LV,42,53,11,26
QB,Josh Allen,BUF,12,2,-10,39
QB,Drake Maye,NE,18,8,-10,34
QB,Gardner Minshew,ARI,78,68,-10,15
RB,Bucky Irving,TB,11,21,10,46
RB,J.K. Dobbins,DEN,23,33,10,25
RB,Keaton Mitchell,LAC,56,46,-10,14
RB,Jonah Coleman,DEN,63,53,-10,13
WR,Zay Flowers,BAL,5,15,10,50
