page,wayback_ts,status,week_label,n_players
ppr-rb,20221002022304,ok,4,115
ppr-rb,20221008010910,ok,5,123
ppr-rb,20221015023005,ok,6,104
ppr-rb,20221017165414,ok,6,100
ppr-rb,20221027205737,ok,8,124
ppr-rb,20221029060927,ok,8,123
ppr-rb,20221112141512,ok,10,118
ppr-rb,20221113153826,ok,10,114
ppr-rb,20221119134515,ok,11,116
ppr-rb,20221126091517,ok,12,124
ppr-rb,20221201095742,ok,13,129
ppr-rb,20221203084734,ok,13,121
ppr-rb,20221207232245,ok,14,110
ppr-rb,20221210101526,ok,14,108
ppr-rb,20221211163806,ok,14,110
ppr-rb,20221217114050,ok,15,130
ppr-rb,20221224183834,ok,16,120
ppr-rb,20221231132537,ok,17,122
ppr-rb,20230107173931,ok,18,114
ppr-rb,20231001084803,ok,4,117
ppr-rb,20240918190440,ok,3,104
ppr-rb,20241207020610,ok,14,92
ppr-rb,20250907145539,ok,1,131
ppr-rb,20250918193750,ok,3,103
ppr-rb,20251008151530,ok,6,103
ppr-rb,20251031032414,ok,9,104
ppr-rb,20251107042946,ok,10,105
ppr-rb,20251112070604,ok,11,100
ppr-rb,20251214221446,ok,15,112
ppr-te,20160104164819,parse_fail,NA,0
ppr-te,20160105225250,parse_fail,NA,0
ppr-te,20160106221709,parse_fail,NA,0
ppr-te,20181214064747,ok,15,90
ppr-te,20191114082613,ok,11,74
ppr-te,20200930143551,ok,4,53
ppr-te,20201001223352,ok,4,83
ppr-te,20201003213949,ok,4,85
ppr-te,20201028200924,ok,8,57
ppr-te,20201101074851,ok,8,81
ppr-te,20201104110402,ok,9,74
ppr-te,20201218075339,ok,15,108
ppr-te,20210907041944,ok,1,73
ppr-te,20210914032027,ok,1,106
ppr-te,20210927025805,ok,3,104
ppr-te,20211004042148,ok,4,112
ppr-te,20211011051210,ok,5,98
ppr-te,20211018061655,ok,6,82
ppr-te,20211025083506,ok,7,75
ppr-te,20211101142241,ok,8,86
ppr-te,20211108191310,ok,9,93
ppr-te,20211115205735,ok,10,85
ppr-te,20211122185638,ok,11,93
ppr-te,20211128234612,ok,12,91
ppr-te,20211129175120,ok,12,91
ppr-te,20211130171530,ok,13,44
ppr-te,20211214020124,ok,14,87
ppr-te,20211215004501,ok,15,88
ppr-te,20211222013259,ok,15,102
ppr-te,20211230003957,ok,17,92
ppr-te,20220106025613,ok,18,73
ppr-te,20220906155050,ok,1,67
ppr-te,20220913082810,ok,2,61
ppr-te,20220920162332,ok,3,89
ppr-te,20220927171912,ok,4,105
ppr-te,20220929012915,ok,4,108
ppr-te,20221008011323,ok,5,108
ppr-te,20221015023421,ok,6,96
ppr-te,20221022043704,ok,7,100
ppr-te,20221029061723,ok,8,114
ppr-te,20221105060556,ok,9,90
ppr-te,20221112142549,ok,10,99
ppr-te,20221119141909,ok,11,95
ppr-te,20221126092005,ok,12,100
ppr-te,20221203090556,ok,13,97
ppr-te,20221210102107,ok,14,89
ppr-te,20221217114740,ok,15,109
ppr-te,20221224184939,ok,16,104
ppr-te,20221231132940,ok,17,105
ppr-te,20230107174903,ok,18,90
ppr-te,20251022001633,ok,8,54
ppr-te,20251107043106,ok,10,95
ppr-wr,20160104020232,parse_fail,NA,0
ppr-wr,20181214070341,ok,15,166
ppr-wr,20191208002926,ok,14,160
ppr-wr,20200916065549,ok,2,127
ppr-wr,20200920211219,ok,2,167
ppr-wr,20201003033137,ok,4,149
ppr-wr,20201024175908,ok,7,148
ppr-wr,20201028192757,ok,8,124
ppr-wr,20201101072338,ok,8,145
ppr-wr,20201104110220,ok,9,138
ppr-wr,20201130010140,ok,12,166
ppr-wr,20201217230034,ok,15,176
ppr-wr,20210907041754,ok,1,130
ppr-wr,20210914031735,ok,1,202
ppr-wr,20210927025618,ok,3,168
ppr-wr,20211004042003,ok,4,177
ppr-wr,20211011051023,ok,5,173
ppr-wr,20211018061507,ok,6,143
ppr-wr,20211023115755,ok,7,137
ppr-wr,20211025083306,ok,7,137
ppr-wr,20211101142044,ok,8,157
ppr-wr,20211108191113,ok,9,157
ppr-wr,20211115205535,ok,10,157
ppr-wr,20211122185446,ok,11,160
ppr-wr,20211129174934,ok,12,160
ppr-wr,20211130171342,ok,13,112
ppr-wr,20211214015908,ok,14,156
ppr-wr,20211215004312,ok,15,145
ppr-wr,20211222013109,ok,15,174
ppr-wr,20211230003817,ok,17,155
ppr-wr,20220106025420,ok,18,139
ppr-wr,20220901144155,ok,1,138
ppr-wr,20220906154627,ok,1,139
ppr-wr,20220913082552,ok,2,145
ppr-wr,20220920161826,ok,3,140
ppr-wr,20220927170453,ok,4,172
ppr-wr,20220929012635,ok,4,178
ppr-wr,20221001111404,ok,4,171
ppr-wr,20221008011131,ok,5,171
ppr-wr,20221015023207,ok,6,151
ppr-wr,20221022043513,ok,7,169
ppr-wr,20221029061305,ok,8,178
ppr-wr,20221105060350,ok,9,150
ppr-wr,20221112142134,ok,10,160
ppr-wr,20221119141305,ok,11,155
ppr-wr,20221126091753,ok,12,180
ppr-wr,20221203085321,ok,13,160
ppr-wr,20221210101817,ok,14,136
ppr-wr,20221217114449,ok,15,174
